signal_i,entry_i,fill,signal_time,entry_time,signal_mult,outcome,exit_px,exit_i,return_pct,minutes,exit_time,ticker,date,gap_pct,open_price
12,36,2.467499899864197,09:42,10:06,7.715327958436951,TP,2.714249889850617,40,9.000000000000005,4.0,10:10,SUNE,2026-07-09,15.165885666873184,2.430000066757202
66,94,2.341394877433777,10:36,11:04,9.443740630146754,TP,2.575534365177155,151,9.000000000000012,57.0,12:01,WRAP,2026-07-09,8.805030362005615,1.7300000190734863
12,16,2.5515000700950625,09:50,09:59,7.949582954826988,EOD,2.450000047683716,92,-4.978052895274468,360.0,15:59,ISPC,2026-07-09,5.240180173652019,2.4100000858306885
0,1,2.378250110149384,09:30,09:31,7.0732169963259155,TP,2.6160751211643225,29,9.000000000000012,34.0,10:05,CNTB,2026-07-09,4.054050135560291,2.309999942779541
1,5,1.3373849987983704,09:31,09:35,6.796350348085304,TP,1.4711234986782076,11,9.000000000000012,6.0,09:41,ELAB,2026-07-10,18.396232356461887,1.2549999952316284
7,36,2.3729999899864196,09:37,10:06,8.02885690572201,TP,2.6102999889850618,60,9.000000000000009,24.0,10:30,WOK,2026-07-10,17.326728115711855,2.369999885559082
1,13,1.5487500250339508,09:31,09:43,6.585508446985088,SL,1.3938750225305556,22,-11.000000000000005,9.0,09:52,YYGH,2026-07-10,10.583940176776064,1.5149999856948853
0,1,2.204999899864197,09:30,09:31,6.230736257998145,EOD,2.0439999103546143,92,-8.301587157418846,388.0,15:59,DFSC,2026-07-10,4.455963068096363,2.0160000324249268
53,62,1.5012900352478027,10:23,10:32,6.7053583702690736,TP,1.6514190387725831,63,9.00000000000001,1.0,10:33,YYGH,2026-07-14,11.864416197229556,1.3200000524520874
16,18,1.7848950326442719,10:20,10:26,9.03407010771434,SL,1.6064055293798447,21,-10.999999999999998,3.0,10:29,MGIH,2026-07-14,9.333332379659016,1.6399999856948853
5,17,1.8627000510692597,09:35,09:47,6.394843071026071,TP,2.0489700561761857,133,8.999999999999998,121.0,11:48,BRR,2026-07-14,6.395349562522706,1.830000042915344
9,16,2.0580000400543215,09:39,09:46,8.228478652331454,TP,2.263800044059754,95,9.000000000000012,85.0,11:11,IKT,2026-07-14,5.10203585134164,2.059999942779541
47,64,1.5856050074100496,10:17,10:34,6.10778222133494,EOD,1.600000023841858,349,-0.09214360672830346,325.0,15:59,GEVO,2026-07-15,9.790217485269109,1.5700000524520874
