signal_i,signal_time,signal_volume,signal_multiple,entry_i,entry_time,fill,detected_at,gap_pct,open_price,outcome,exit_price,exit_time,return_pct,minutes_held,ticker
1,09:31,28126.0,12.280963539124114,6,09:36,1.3350000381469727,15:47:45,18.03737846084326,1.2630000114440918,TP,1.46850004196167,09:37,9.00000000000001,1.0,AQB
44,10:14,85875.0,17.440002494554385,69,10:39,1.7324999749660492,15:47:45,14.855075624905032,1.5850000381469727,EODT,1.6002000570297241,14:30,-8.636359009986002,231.0,ZENA
20,09:50,261695.0,6.24140518410873,23,09:53,3.280400037765503,15:47:45,13.87560823833189,2.380000114440918,SL,2.9523600339889526,09:54,-11.0,1.0,ZYBT
4,09:34,48875.0,17.367170707698012,9,09:39,2.515000104904175,15:47:45,9.595962393443152,2.1700000762939453,TP,2.7665001153945927,12:45,9.000000000000018,186.0,EXFY
