ticker,bar,observed_at,age_s,volume,open,close
EXFY,2026-08-07 15:46:00-04:00,2026-08-07 15:47:45.274548-04:00,45.274548,9760.0,2.744999885559082,2.744499921798706
EXFY,2026-08-07 15:47:00-04:00,2026-08-07 15:47:45.274548-04:00,-14.725452,0.0,2.7100000381469727,2.7100000381469727
DFSC,2026-08-07 13:00:00-04:00,2026-08-07 15:47:45.274548-04:00,10005.274548,1857.0,1.2400000095367432,1.2300000190734863
DFSC,2026-08-07 13:48:00-04:00,2026-08-07 15:47:45.274548-04:00,7125.274548,1138.0,1.3200000524520874,1.2309999465942383
DFSC,2026-08-07 14:14:00-04:00,2026-08-07 15:47:45.274548-04:00,5565.274548,4365.0,1.319700002670288,1.2339999675750732
DFSC,2026-08-07 14:28:00-04:00,2026-08-07 15:47:45.274548-04:00,4725.274548,415.0,1.2599999904632568,1.2599999904632568
DFSC,2026-08-07 15:38:00-04:00,2026-08-07 15:47:45.274548-04:00,525.274548,200.0,1.2400000095367432,1.2400000095367432
DFSC,2026-08-07 15:44:00-04:00,2026-08-07 15:47:45.274548-04:00,165.274548,0.0,1.2300000190734863,1.2300000190734863
EXYN,2026-08-07 13:58:00-04:00,2026-08-07 15:47:45.274548-04:00,6525.274548,265.0,1.920799970626831,1.920799970626831
EXYN,2026-08-07 14:08:00-04:00,2026-08-07 15:47:45.274548-04:00,5925.274548,527.0,1.9199999570846558,1.9199999570846558
EXYN,2026-08-07 14:32:00-04:00,2026-08-07 15:47:45.274548-04:00,4485.274548,2903.0,1.9500000476837158,1.9500000476837158
EXYN,2026-08-07 14:40:00-04:00,2026-08-07 15:47:45.274548-04:00,4005.274548,1467.0,1.940000057220459,1.940000057220459
EXYN,2026-08-07 14:51:00-04:00,2026-08-07 15:47:45.274548-04:00,3345.274548,1386.0,1.9299999475479126,1.9299999475479126
EXYN,2026-08-07 15:32:00-04:00,2026-08-07 15:47:45.274548-04:00,885.274548,0.0,1.9500000476837158,1.9500000476837158
ZYBT,2026-08-07 15:42:00-04:00,2026-08-07 15:47:45.274548-04:00,285.274548,883.0,1.820099949836731,1.8350000381469727
ZYBT,2026-08-07 15:43:00-04:00,2026-08-07 15:47:45.274548-04:00,225.274548,2882.0,1.8489999771118164,1.8319000005722046
ZYBT,2026-08-07 15:44:00-04:00,2026-08-07 15:47:45.274548-04:00,165.274548,3147.0,1.8350000381469727,1.840000033378601
ZYBT,2026-08-07 15:45:00-04:00,2026-08-07 15:47:45.274548-04:00,105.274548,2711.0,1.8380000591278076,1.8350000381469727
ZYBT,2026-08-07 15:46:00-04:00,2026-08-07 15:47:45.274548-04:00,45.274548,6078.0,1.8350000381469727,1.850000023841858
ZYBT,2026-08-07 15:47:00-04:00,2026-08-07 15:47:45.274548-04:00,-14.725452,0.0,1.8350000381469727,1.8350000381469727
REBN,2026-08-07 14:24:00-04:00,2026-08-07 15:47:45.274548-04:00,4965.274548,808.0,1.5399999618530273,1.5399999618530273
REBN,2026-08-07 14:25:00-04:00,2026-08-07 15:47:45.274548-04:00,4905.274548,1000.0,1.524999976158142,1.5199999809265137
REBN,2026-08-07 14:27:00-04:00,2026-08-07 15:47:45.274548-04:00,4785.274548,104.0,1.4900000095367432,1.4900000095367432
REBN,2026-08-07 14:35:00-04:00,2026-08-07 15:47:45.274548-04:00,4305.274548,222.0,1.5,1.5
REBN,2026-08-07 15:08:00-04:00,2026-08-07 15:47:45.274548-04:00,2325.274548,220.0,1.5,1.5
REBN,2026-08-07 15:18:00-04:00,2026-08-07 15:47:45.274548-04:00,1725.274548,0.0,1.5049999952316284,1.5049999952316284
