ticker,bar,observed_at,age_s,volume,open,close
INDP,2026-08-13 09:30:00-04:00,2026-08-13 09:32:32.344787-04:00,92.344787,0.0,1.0199999809265137,1.0199999809265137
INDP,2026-08-13 09:31:00-04:00,2026-08-13 09:32:32.344787-04:00,32.344787,0.0,1.059999942779541,1.059999942779541
LSTA,2026-08-13 09:30:02-04:00,2026-08-13 09:32:32.344787-04:00,90.344787,0.0,1.190000057220459,1.190000057220459
BTMD,2026-08-13 09:30:00-04:00,2026-08-13 09:32:32.344787-04:00,92.344787,8140.0,1.5399999618530273,1.5399999618530273
BTMD,2026-08-13 09:32:00-04:00,2026-08-13 09:32:32.344787-04:00,-27.655213,0.0,1.5399999618530273,1.5399999618530273
MOBX,2026-08-13 09:30:00-04:00,2026-08-13 09:32:32.344787-04:00,92.344787,839377.0,1.590000033378601,1.5501999855041504
MOBX,2026-08-13 09:31:00-04:00,2026-08-13 09:32:32.344787-04:00,32.344787,15631.0,1.5500999689102173,1.5449999570846558
MOBX,2026-08-13 09:32:00-04:00,2026-08-13 09:32:32.344787-04:00,-27.655213,0.0,1.5499999523162842,1.5499999523162842
USIO,2026-08-13 09:30:00-04:00,2026-08-13 09:32:32.344787-04:00,92.344787,336492.0,2.6500000953674316,2.549999952316284
USIO,2026-08-13 09:31:00-04:00,2026-08-13 09:32:32.344787-04:00,32.344787,49131.0,2.5399999618530273,2.740000009536743
USIO,2026-08-13 09:32:00-04:00,2026-08-13 09:32:32.344787-04:00,-27.655213,0.0,2.640000104904175,2.640000104904175
LSTA,2026-08-13 09:30:02-04:00,2026-08-13 09:32:52.361279-04:00,110.361279,0.0,1.190000057220459,1.190000057220459
INDP,2026-08-13 09:30:00-04:00,2026-08-13 09:32:52.361279-04:00,112.361279,0.0,1.0199999809265137,1.0199999809265137
INDP,2026-08-13 09:31:00-04:00,2026-08-13 09:32:52.361279-04:00,52.361279,0.0,1.059999942779541,1.059999942779541
BTMD,2026-08-13 09:30:00-04:00,2026-08-13 09:32:52.361279-04:00,112.361279,8140.0,1.5399999618530273,1.5399999618530273
BTMD,2026-08-13 09:32:00-04:00,2026-08-13 09:32:52.361279-04:00,-7.638721,0.0,1.5399999618530273,1.5399999618530273
USIO,2026-08-13 09:30:00-04:00,2026-08-13 09:32:52.361279-04:00,112.361279,336492.0,2.6500000953674316,2.549999952316284
USIO,2026-08-13 09:31:00-04:00,2026-08-13 09:32:52.361279-04:00,52.361279,49131.0,2.5399999618530273,2.740000009536743
USIO,2026-08-13 09:32:00-04:00,2026-08-13 09:32:52.361279-04:00,-7.638721,0.0,2.5999999046325684,2.5999999046325684
MOBX,2026-08-13 09:30:00-04:00,2026-08-13 09:32:52.361279-04:00,112.361279,839377.0,1.590000033378601,1.5501999855041504
MOBX,2026-08-13 09:31:00-04:00,2026-08-13 09:32:52.361279-04:00,52.361279,15631.0,1.5500999689102173,1.5449999570846558
