trades,avg_pct,median_pct,win_rate,profit_factor,target_rate,stop_rate,close_rate,worst_pct,median_minutes,is_avg,oos_avg,is_n,oos_n,drop_best10,tp,sl
55,-1.0465650919084435,-4.999999999999998,43.63636363636363,0.6435079829489235,41.81818181818181,56.36363636363636,1.8181818181818181,-8.692300638503319,4.0,-1.2343159280756326,-0.878236756034412,26,29,-1.9017821613178694,5,4
55,-0.7526816077812035,0.27794484990881596,50.90909090909091,0.7433536423681784,49.09090909090909,45.45454545454545,5.454545454545454,-8.692300638503319,4.0,-0.7754773319988152,-0.7322440619309313,26,29,-1.5719129444403555,5,5
55,-0.6414976344723287,3.9999999999999973,54.54545454545454,0.7864130937508332,52.72727272727272,40.0,7.2727272727272725,-8.692300638503319,7.0,-0.14854202736849068,-1.0834578339447354,26,29,-1.4879962384011831,5,6
55,-0.5174874412216766,3.9999999999999973,58.18181818181818,0.8289238075086971,56.36363636363636,34.54545454545455,9.090909090909092,-9.12720937364152,7.0,0.005304126477663856,-0.9861971226072923,26,29,-1.3488011235280017,5,7
55,-0.3103168873319864,3.999999999999999,61.81818181818181,0.895275669811904,60.0,29.09090909090909,10.909090909090908,-9.461530702353649,8.0,0.23208890755356412,-0.7966117379190316,26,29,-1.1162627467130433,5,8
55,-0.2740235699153803,4.0,63.63636363636363,0.9086470099796127,61.81818181818181,25.454545454545453,12.727272727272727,-11.687612658629634,11.0,0.5437656649392056,-1.0072139184056987,26,29,-1.0755253496127715,5,9
55,0.09391851273942145,4.0,67.27272727272727,1.033818612527937,65.45454545454545,20.0,14.545454545454545,-11.769230063850333,13.0,0.9283810495545898,-0.6542203133707292,26,29,-0.6625291343879938,5,10
55,-0.08308987136065747,4.0,67.27272727272727,0.9718733510410752,65.45454545454545,20.0,14.545454545454545,-12.19230384798431,14.0,0.7745348957084366,-0.851994834939845,26,29,-0.8612120145003272,5,11
55,0.0457053636434626,4.0,69.0909090909091,1.0159206823848268,65.45454545454545,16.363636363636363,18.181818181818183,-14.148367681139165,14.0,1.2168938365059405,-1.0043256809918621,26,29,-0.7166459343936618,5,12
55,0.29506740384086855,4.0,70.9090909090909,1.1095202150864543,67.27272727272727,12.727272727272727,20.0,-14.148367681139165,15.0,1.7938169134290176,-1.0486390530312655,26,29,-0.43674976682514527,5,13
55,0.2756063772894216,4.0,70.9090909090909,1.101563235740797,67.27272727272727,9.090909090909092,23.636363636363637,-15.000000000000009,20.0,1.7168938365059405,-1.0165823792495268,26,29,-0.45859377621962666,5,14
55,0.17713978000978559,4.0,70.9090909090909,1.0629917737802312,67.27272727272727,9.090909090909092,23.636363636363637,-16.415662850380002,20.0,1.6239837268759407,-1.1200306551115948,26,29,-0.5691175078600343,5,15
55,0.09378819547123983,4.0,70.9090909090909,1.0323914517432335,67.27272727272727,9.090909090909092,23.636363636363637,-17.00000000000001,20.0,1.5630476826597868,-1.2234789309736644,26,29,-0.6626754088726875,5,16
55,0.16082164958446016,4.0,70.9090909090909,1.0568590246855165,67.27272727272727,7.2727272727272725,25.454545454545453,-18.000000000000004,20.0,1.820233835591599,-1.3269272068357334,26,29,-0.5874337767047874,5,17
55,0.3988817549088443,4.0,70.9090909090909,1.1539865349216067,67.27272727272727,3.6363636363636362,29.09090909090909,-18.999999999999993,20.0,2.142929580319653,-1.1647473299422255,26,29,-0.3202234544019073,5,18
55,0.36251811854520766,4.0,70.9090909090909,1.1380111113029296,67.27272727272727,3.6363636363636362,29.09090909090909,-20.000000000000004,20.0,2.142929580319653,-1.2337128471836054,26,29,-0.36103978093252,5,19
55,0.7806999367270261,4.000000000000002,72.72727272727273,1.342220602382208,69.0909090909091,1.8181818181818181,29.09090909090909,-21.0,20.0,2.142929580319653,-0.4406093989077431,26,29,0.108347974169521,5,20
55,-0.8673414862992209,-4.999999999999998,41.81818181818181,0.7136308527404251,40.0,58.18181818181818,1.8181818181818181,-8.692300638503319,4.0,-1.2778464415562374,-0.4993025608963785,26,29,-1.7612955930786884,6,4
55,-0.48294153676648915,-0.09214360672830346,49.09090909090909,0.8394470758791293,47.27272727272727,45.45454545454545,7.2727272727272725,-8.692300638503319,5.0,-0.7044537840447258,-0.2843443495515181,26,29,-1.3298262619705201,6,5
55,-0.3535757452757958,4.999999999999995,52.72727272727272,0.8851535368633803,50.90909090909091,40.0,9.090909090909092,-8.692300638503319,7.0,-0.039056940952862856,-0.635558121565322,26,29,-1.2050932294007355,6,6
55,-0.1932019156615072,4.9999999999999964,56.36363636363636,0.9376793426428398,54.54545454545454,34.54545454545455,10.909090909090908,-9.12720937364152,8.0,0.15325075135483035,-0.5038146516071893,26,29,-1.025081787996942,6,7
55,0.050332274591819305,4.999999999999997,60.0,1.0165653311983376,58.18181818181818,29.09090909090909,12.727272727272727,-9.461530702353649,8.0,0.41849707089226934,-0.2797465082982391,26,29,-0.7517270846513715,6,8
55,0.10480741019024355,4.999999999999999,61.81818181818181,1.0340854359052594,60.0,25.454545454545453,14.545454545454545,-11.687612658629634,14.0,0.7686353667394492,-0.49034868878490623,26,29,-0.6905815242857936,6,9
55,0.5091131292086823,5.000000000000001,65.45454545454545,1.1784885838907793,63.63636363636363,20.0,16.363636363636363,-11.769230063850333,14.0,1.1917122898163721,-0.10287232512924668,26,29,-0.23676898253040313,6,10
55,0.33210474510860327,5.000000000000001,65.45454545454545,1.1096284940721584,63.63636363636363,20.0,16.363636363636363,-12.19230384798431,16.0,1.0378661359702188,-0.3006468466983626,26,29,-0.4354518626427366,6,11
55,0.46089998011272326,5.000000000000001,67.27272727272727,1.156446827909906,63.63636363636363,16.363636363636363,20.0,-14.148367681139165,20.0,1.4802250767677225,-0.45297769275037963,26,29,-0.29088578253607117,6,12
55,0.7284438384919474,5.000000000000001,69.0909090909091,1.2630317626519887,65.45454545454545,12.727272727272727,21.818181818181817,-14.148367681139165,20.0,2.095609692152338,-0.4972910647897831,26,29,0.009418548297751713,6,13
