signal_i,signal_time,signal_volume,signal_multiple,entry_i,entry_time,fill,outcome,exit_price,exit_time,return_pct,minutes_held,ticker,date,gap_pct,open_price
14,09:44,10209.0,8.180997141124491,38,10:09,2.273670029640198,SL,2.046303026676178,14:39,-11.0,270.0,ZJYL,2026-08-05,15.46391461174027,2.240000009536743
0,09:30,100659.0,5.210565887223546,17,09:57,2.5899999141693115,EOD,2.575000047683716,15:52,-1.579145443346727,355.0,DXST,2026-08-05,10.332102119866654,2.990000009536743
2,09:32,19724.0,5.274107530245359,27,09:57,2.918999969959259,EOD,2.8499999046325684,15:54,-3.3638254894416364,357.0,NEOV,2026-08-05,5.53360104693086,2.6700000762939453
16,11:04,9881.0,5.271505052075237,19,11:07,1.354394942522049,SL,1.2100000381469727,11:42,-11.661211131385011,35.0,KMRK,2026-08-05,5.263163398397555,1.2000000476837158
2,09:32,41673.0,5.178052600200927,9,09:39,1.086749964952469,EOD,1.034999966621399,15:54,-5.761904761904773,375.0,LDI,2026-08-05,4.761911790117163,1.100000023841858
