min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,rr_ratio,sessions_scanned,entries_triggered,num_trades,win_rate_pct,avg_profit_pct,median_profit_pct,total_return_pct,tp_hit_pct,sl_hit_pct,eod_exit_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_r,median_minutes_held,ambiguous_excluded
2.0,3.0,10.0,10.0,1.0,2106,356,356,51.40449438202247,0.5313664986191243,0.41253946123988106,189.16647350840827,37.07865168539326,28.932584269662918,33.98876404494382,7.724706797617785,-7.077773817662696,1.154490359810497,0.07507537148094375,17.5,0
2.0,3.0,15.0,10.0,1.5,2106,356,356,44.9438202247191,0.4870499548720938,-0.9279174006710871,173.38978393446538,26.685393258426966,34.55056179775281,38.764044943820224,10.042578881847543,-7.313381822250721,1.1209620632791506,0.06659709101885812,25.0,0
2.0,3.0,15.0,8.0,1.875,2106,356,356,41.57303370786517,0.44045474356251907,-1.9680849322522769,156.8018887082568,24.15730337078652,40.73033707865169,35.1123595505618,9.867188827332345,-6.267029123735242,1.120289090618587,0.07028126642883727,15.0,0
2.0,3.0,15.0,5.0,3.0,2106,356,356,33.98876404494382,0.3537452188264371,-4.999999999999998,125.93329790221162,19.101123595505616,53.93258426966292,26.96629213483146,9.534215703291977,-4.373220434877097,1.1225381574132849,0.08088895222506172,5.0,0
2.0,3.0,20.0,10.0,2.0,2106,356,356,40.168539325842694,0.27719557937508027,-2.0385029896755196,98.68162625752858,19.9438202247191,38.48314606741573,41.57303370786517,11.710100005263689,-7.398416312183938,1.0626207015716904,0.03746688043474738,35.0,0
2.0,3.0,10.0,8.0,1.25,2106,356,356,46.62921348314607,0.22781123773869463,-0.6611297186925678,81.10080063497529,32.58426966292135,36.235955056179776,31.179775280898873,7.542124584257474,-6.16258884395666,1.0692641242081298,0.03696680786388948,10.0,0
2.0,1.5,10.0,10.0,1.0,2106,911,911,48.73765093304062,0.13251023971510265,0.0,120.71682838045851,18.990120746432492,15.367727771679473,65.64215148188804,4.970056657951597,-4.466784427730299,1.0578703278319226,0.0296656894593937,35.0,0
2.0,1.5,20.0,10.0,2.0,2106,911,911,44.12733260153677,0.13113596344650283,-0.2906973923522806,119.46486269976408,9.989023051591657,19.099890230515918,70.91108671789243,6.364237745637767,-4.7916674087359885,1.0489819127149138,0.027367501176609348,55.0,0
2.0,1.5,15.0,10.0,1.5,2106,911,911,45.77387486278815,0.12316846533651786,-0.14943791342567686,112.20647192156777,12.733260153677278,17.45334796926454,69.81339187705817,5.7581898872138755,-4.633519657989106,1.0490207496448294,0.02658205304560455,45.0,0
2.0,2.0,10.0,10.0,1.0,2106,581,581,48.53700516351119,0.11637966091157133,-0.012469204805521108,67.61658298962294,25.47332185886403,20.65404475043029,53.87263339070568,6.177289834277263,-5.5999302684834955,1.040383077499773,0.020782341088523563,30.0,0
2.0,3.0,20.0,8.0,2.5,2106,356,356,36.51685393258427,0.08172396357112377,-3.1914309746595917,29.09373103132006,17.134831460674157,45.2247191011236,37.640449438202246,11.254427893094523,-6.34505263305738,1.0202887715188904,0.012879950458621314,20.0,0
2.0,3.0,20.0,5.0,4.0,2106,356,356,29.49438202247191,0.06104180792058281,-5.0,21.73088361972748,13.202247191011235,58.42696629213483,28.370786516853936,10.756549388722334,-4.413174510741505,1.0196179021169176,0.01383172312175947,10.0,0
