time,n,mean_pct_vs_open,median_pct_vs_open,pct_above_open
09:30,264,0.5301676243392011,-0.5796420632613819,43.56060606060606
09:35,258,0.9065033748757921,-0.8736645796952713,41.86046511627907
09:40,258,1.2826442081137963,-1.4890990872195364,39.922480620155035
09:45,257,0.7402861463201506,-1.6327842592455788,40.46692607003891
09:50,259,1.215325148917679,-1.5923627090575931,40.92664092664093
09:55,257,1.1117207873805697,-1.639342660450327,43.57976653696498
10:00,262,1.403057803329632,-1.1948252782878643,44.274809160305345
10:05,256,1.4184661437906965,-0.5116676808305909,46.875
10:10,259,0.9719466423998384,-1.0416656965389626,44.01544401544402
10:15,263,1.6716620681067882,-1.20481812348876,45.247148288973385
10:20,262,0.7817651588986139,-0.9966141563924613,45.41984732824427
10:25,259,1.2799718772180595,-0.9202445238506662,46.33204633204633
10:30,263,1.240500413279472,-0.96153757981291,45.627376425855516
10:35,262,1.1314173850731997,-1.2051610386841716,46.18320610687023
10:40,260,1.4585149923429195,-0.9463084734276483,45.38461538461539
10:45,259,1.4513476836580235,-1.1331434044538846,45.559845559845556
10:50,261,1.8983234389583474,-1.733566157699018,45.97701149425287
10:55,258,1.0346726287829446,-1.6390317990701675,45.73643410852713
11:00,260,0.9621593991347576,-0.9667259452773302,46.92307692307692
11:05,258,0.5417655094564058,-0.7867155041083596,47.674418604651166
11:10,260,0.45618793263146146,-1.104551662221509,46.53846153846154
11:15,260,0.5265478404592722,-1.2686434866011953,46.53846153846154
11:20,261,0.10435402483293162,-1.866082137218772,42.911877394636015
11:25,260,1.0829808460172168,-0.8232342077823585,47.30769230769231
11:30,263,0.32765319601756565,-1.9209576691068264,43.72623574144487
11:35,262,0.5978908044480252,-1.8248888815371123,41.603053435114504
11:40,258,0.6012509453803597,-1.5498817024888312,42.248062015503876
11:45,260,0.8533974970487989,-1.2338705753462964,44.230769230769226
11:50,260,0.11761945734836964,-1.2695165898896632,41.92307692307693
11:55,258,0.2732878818408304,-2.2278576206707204,43.02325581395349
12:00,254,0.28865415995109467,-2.0360368273597826,43.30708661417323
12:05,259,0.03739488307211898,-1.9108337322794822,42.857142857142854
12:10,262,0.22718145856436303,-2.0145258140135844,41.221374045801525
12:15,258,0.7845839087521883,-1.9041823919396683,42.63565891472868
12:20,257,0.06647854616876686,-1.5923627090575931,45.13618677042802
12:25,257,-0.41359876743494456,-1.7067217535870483,43.190661478599225
12:30,255,-0.1973524597757147,-1.7679528537124178,44.31372549019608
12:35,257,-0.04342066966115307,-1.8518500530834592,42.023346303501945
12:40,258,-0.8060327408544138,-2.4119674836067584,41.08527131782946
12:45,253,-0.6038802478269464,-2.4647864562796107,43.08300395256917
12:50,254,-1.0822888864262263,-2.475816583252455,44.09448818897638
12:55,252,-0.7750380351935998,-2.120924632165649,44.84126984126984
13:00,257,0.06605708767900927,-2.0970373723655733,42.80155642023346
13:05,253,-0.9897149790134626,-2.4175852506203577,42.29249011857708
13:10,258,0.4180163277574529,-2.375671251570127,40.310077519379846
13:15,257,0.11899709758561595,-2.689351205183721,41.63424124513619
13:20,260,-0.08724241173090558,-2.586617210564357,39.61538461538461
13:25,248,-1.8973920962882975,-3.0864550284791514,39.516129032258064
13:30,250,-0.4538846555922849,-2.473886744952458,40.400000000000006
13:35,258,-1.3269051452379628,-2.9021044965160057,39.922480620155035
13:40,256,-0.7639659897618534,-2.612615843655264,39.453125
13:45,252,-1.767570872234206,-3.109197345800707,38.492063492063494
13:50,254,-0.7898446154330785,-2.416000366210941,39.37007874015748
13:55,254,-0.9310983486847849,-2.4787858493587667,38.188976377952756
14:00,255,-1.9003244912752733,-2.4426275993731594,41.17647058823529
14:05,255,-1.7890308002172859,-2.4647864562796107,41.568627450980394
14:10,254,-1.8163429303385255,-1.6805917122551806,39.37007874015748
14:15,259,-1.056388853862999,-1.9705880290496691,40.92664092664093
14:20,252,-1.0426337032716235,-1.5447471039958915,43.25396825396825
14:25,258,-0.7715028580853531,-1.4341510231430266,42.248062015503876
14:30,253,-0.6061749791641864,-1.7570358458147028,42.29249011857708
14:35,255,-1.1120883996771833,-1.6129016752173708,40.3921568627451
14:40,252,-1.239097501304172,-1.9834639809205912,39.285714285714285
14:45,253,-1.1726604650457717,-2.63882492332822,41.89723320158103
14:50,250,-0.6009427689633753,-2.0420776118993067,42.0
14:55,258,-0.6701670490329906,-2.575866596617188,41.08527131782946
15:00,254,-0.5461017121314659,-1.8582064693419054,40.94488188976378
15:05,256,-1.1266768306337782,-1.9695558598771035,41.015625
15:10,257,-0.8692410072125828,-2.4570058681429363,40.07782101167315
15:15,258,-1.1442156076700691,-2.4932029726383034,40.310077519379846
15:20,257,-1.0546999314506504,-2.6696388096909884,40.46692607003891
15:25,258,-1.5384847049269883,-2.2880842231002396,38.759689922480625
15:30,259,-1.6485374506076709,-2.1759986877441406,39.768339768339764
15:35,261,-2.8653934721102434,-2.608700038955525,37.93103448275862
15:40,262,-1.9288554164776834,-2.871145446258944,38.54961832061068
15:45,260,-3.5403605275247823,-2.965742298457302,37.30769230769231
15:50,262,-2.96882407882778,-2.6334017397412204,39.69465648854962
15:55,262,-2.775096277752388,-2.580963643130657,38.54961832061068
