time,realised_return_pct,unrealised_return_pct,open_count,closed_count
22:48:46,0,0,0,0
22:49:46,0,0,0,0
22:50:46,0,0,0,0
22:51:46,0,0,0,0
22:52:46,0,0,0,0
22:53:46,0,0,0,0
22:54:46,0,0,0,0
22:55:46,0,0,0,0
22:56:46,0,0,0,0
22:57:46,0,0,0,0
22:58:46,0,0,0,0
22:59:46,0,0,0,0
23:00:46,0,0,0,0
23:01:46,0,0,0,0
23:02:46,0,0,0,0
23:03:46,0,0,0,0
23:04:46,0,0,0,0
23:05:46,0,0,0,0
23:06:46,0,0,0,0
23:07:46,0,0,0,0
23:08:46,0,0,0,0
23:09:46,0,0,0,0
23:11:06,0,0,0,0
23:12:06,0,0,0,0
23:12:51,0,0,0,0
23:16:31,0,0,0,0
23:56:49,0,0,0,0
