gap_bucket,events,avg_gap_pct,avg_max_gain,median_max_gain,avg_max_dd,median_max_dd,avg_dd_before_peak,median_dd_before_peak,median_risk_reward,avg_close_vs_open,pct_green_close,tp_before_sl_%,sl_first_%,avg_trade_return
5-10%,85.0,7.2636094886861144,16.7915632557818,9.01408274763514,7.8078669062828086,5.807201160713623,3.9172041912674587,2.8037325464225495,2.218059164951376,1.4167624825413263,50.588235294117645,34.11764705882353,49.411764705882355,0.8149141009297594
10-20%,66.0,14.082958761729357,20.82150221046578,12.079988537110754,11.289671557426956,9.133903080094802,6.236724242319584,5.844027351885433,2.799995708471715,-1.0227199200898676,34.84848484848485,30.303030303030305,63.63636363636363,0.07299052105055863
20-50%,63.0,33.64615908615744,37.13973389727135,14.898427761266678,15.17618127743575,13.12236475011539,7.527169587258698,7.192001342773438,2.162350485609436,5.396834429352457,41.269841269841265,33.33333333333333,65.07936507936508,0.02976195227836317
50%+,50.0,128.56216931758982,38.392857166612856,20.25637607321627,33.577501455299455,31.037459396050856,10.329601149587267,9.529825424238773,2.4500006556509364,-19.006368633844364,22.0,30.0,70.0,-0.4999999999999987
