ticker,date,open_price,prior_close,gap_pct,avg_volume
SFIX,2026-07-08,3.6619999408721924,3.7149999141693115,-1.4266480355752615,1017014.0
SFIX,2026-07-09,3.5299999713897705,3.555000066757202,-0.7032375498725718,1034222.5
SFIX,2026-07-10,3.5199999809265137,3.509999990463257,0.2849000139722797,907534.3333333334
SFIX,2026-07-13,3.609999895095825,3.555000066757202,1.5471118792071572,978549.25
SFIX,2026-07-14,3.680000066757202,3.630000114440918,1.3774091112937892,1021379.4
SFIX,2026-07-15,3.759999990463257,3.7149999141693115,1.2113075998282359,996841.3333333334
SFIX,2026-07-16,3.9100000858306885,3.869999885559082,1.0335969368078621,980971.8571428572
SFIX,2026-07-17,3.859999895095825,3.940000057220459,-2.030460938141998,1001512.75
SFIX,2026-07-20,3.819999933242798,3.799999952316284,0.5263152941442201,975292.5555555555
SFIX,2026-07-21,3.8499999046325684,3.9000000953674316,-1.2820561413384426,985421.4
SFIX,2026-07-22,3.8399999141693115,3.8299999237060547,0.2610963619440614,987709.8
SFIX,2026-07-23,3.690000057220459,3.744999885559082,-1.4686202942410038,984616.9
SFIX,2026-07-24,3.609999895095825,3.5299999713897705,2.2662868089077777,1022801.1
SFIX,2026-07-27,3.700000047683716,3.575000047683716,3.496503449866776,985063.7
SFIX,2026-07-28,4.050000190734863,4.025000095367432,0.6211203670828596,984157.2
SFIX,2026-07-29,4.190000057220459,4.21999979019165,-0.7108941815807288,1057413.0
SFIX,2026-07-30,4.21999979019165,4.25,-0.7058872896082261,1112230.2
SFIX,2026-07-31,4.059999942779541,4.110000133514404,-1.2165496133964553,1117138.2
SFIX,2026-08-03,4.079999923706055,4.010000228881836,1.7456282002192736,1149478.4
SFIX,2026-08-04,4.139999866485596,4.130000114440918,0.2421247401353017,1207220.0
SFIX,2026-08-05,4.329999923706055,4.257999897003174,1.6909353791566613,1278136.5
ACRV,2026-07-08,1.8300000429153442,1.8680000305175781,-2.0342605450442632,431542.0
ACRV,2026-07-09,2.009999990463257,2.0199999809265137,-0.4950490375089082,735544.0
ACRV,2026-07-10,2.0299999713897705,2.0399999618530273,-0.49019562011037376,711429.0
ACRV,2026-07-13,1.899999976158142,1.9550000429153442,-2.8133025856707756,614639.75
ACRV,2026-07-14,1.9800000190734863,1.9850000143051147,-0.25188892673024776,707715.2
ACRV,2026-07-15,2.109999895095825,2.1480000019073486,-1.7690924943100872,753740.8333333334
ACRV,2026-07-16,1.8899999856948853,1.9249999523162842,-1.8181801292662219,723887.2857142857
ACRV,2026-07-17,1.7200000286102295,1.7549999952316284,-1.994300097805958,702312.0
ACRV,2026-07-20,1.7599999904632568,1.7400000095367432,1.1494241848790827,652163.6666666666
ACRV,2026-07-21,1.7599999904632568,1.7400000095367432,1.1494241848790827,600864.4
ACRV,2026-07-22,1.7300000190734863,1.75,-1.1428560529436385,569979.7
ACRV,2026-07-23,1.6699999570846558,1.6799999475479126,-0.5952375461590091,485407.2
ACRV,2026-07-24,1.6799999475479126,1.659999966621399,1.2048181523292238,440941.2
ACRV,2026-07-27,1.6200000047683716,1.6019999980926514,1.1235959236673598,434478.4
ACRV,2026-07-28,1.5499999523162842,1.5700000524520874,-1.273891685835697,341606.8
ACRV,2026-07-29,1.5,1.5299999713897705,-1.960782480441495,265964.6
ACRV,2026-07-30,1.4299999475479126,1.4199999570846558,0.7042247017941755,289752.0
ACRV,2026-07-31,1.5700000524520874,1.5299999713897705,2.6143844320456395,273589.9
ACRV,2026-08-03,1.5199999809265137,1.5099999904632568,0.6622510282393388,295014.4
ACRV,2026-08-04,1.5700000524520874,1.559999942779541,0.6410326948300152,304177.4
ACRV,2026-08-05,1.5950000286102295,1.5750000476837158,1.2698400203813818,308424.8
GROV,2026-07-08,1.2200000286102295,1.215000033378601,0.41152222998090987,8333.0
GROV,2026-07-09,1.190000057220459,1.2100000381469727,-1.652890933552547,23780.0
GROV,2026-07-10,1.1100000143051147,1.100000023841858,0.9090900224102623,84601.66666666667
GROV,2026-07-13,1.100000023841858,1.090000033378601,0.9174302896359119,73252.75
GROV,2026-07-14,1.100000023841858,1.090000033378601,0.9174302896359119,67858.0
GROV,2026-07-15,1.0800000429153442,1.0950000286102295,-1.3698616715036243,61168.333333333336
GROV,2026-07-16,1.0800000429153442,1.0800000429153442,0.0,58164.71428571428
GROV,2026-07-17,1.090000033378601,1.100000023841858,-0.9090900224102623,59456.75
GROV,2026-07-20,1.0700000524520874,1.0850000381469727,-1.382487112212744,53778.666666666664
GROV,2026-07-21,1.059999942779541,1.0700000524520874,-0.934589643208842,50256.2
GROV,2026-07-22,1.100000023841858,1.1100000143051147,-0.9009000301245093,50822.4
GROV,2026-07-23,1.0950000286102295,1.090000033378601,0.45871514481795594,48444.3
GROV,2026-07-24,1.0800000429153442,1.0700000524520874,0.93457850215429,30636.5
GROV,2026-07-27,1.0700000524520874,1.090000033378601,-1.8348605792718238,27596.1
GROV,2026-07-28,1.128000020980835,1.100000023841858,2.5454542301903156,23809.4
GROV,2026-07-29,1.159999966621399,1.1100000143051147,4.504500150622547,23353.7
GROV,2026-07-30,1.1100000143051147,1.090000033378601,1.8348605792718238,20814.5
GROV,2026-07-31,1.1100000143051147,1.090000033378601,1.8348605792718238,16317.3
GROV,2026-08-03,1.1399999856948853,1.100000023841858,3.636360089641049,17255.0
GROV,2026-08-04,1.100000023841858,1.090000033378601,0.9174302896359119,22393.0
GROV,2026-08-05,1.1100000143051147,1.1050000190734863,0.4524882484455325,23776.2
IBIO,2026-07-07,1.6490000486373901,1.6200000047683716,1.7901261594851041,422345.0
IBIO,2026-07-08,1.5700000524520874,1.600000023841858,-1.8749981839210066,431740.5
IBIO,2026-07-09,1.5199999809265137,1.5399999618530273,-1.2987000923330156,730843.6666666666
IBIO,2026-07-10,1.5199999809265137,1.524999976158142,-0.3278685449048112,819668.0
IBIO,2026-07-13,1.4800000190734863,1.5199999809265137,-2.6315764707211,824006.8
IBIO,2026-07-14,1.4700000286102295,1.4600000381469727,0.6849308357518121,859713.3333333334
IBIO,2026-07-15,1.4700000286102295,1.4450000524520874,1.7301020934717943,887936.7142857143
IBIO,2026-07-16,1.4299999475479126,1.440000057220459,-0.6944520329984546,896782.375
IBIO,2026-07-17,1.3350000381469727,1.3550000190734863,-1.4760133317333188,955424.2222222222
IBIO,2026-07-20,1.3899999856948853,1.3799999952316284,0.7246369925949435,917746.2
IBIO,2026-07-21,1.409999966621399,1.3799999952316284,2.1739109777848307,911766.5
IBIO,2026-07-22,1.399999976158142,1.4199999570846558,-1.408449403588351,904246.2
IBIO,2026-07-23,1.350000023841858,1.3799999952316284,-2.1739109777848307,808018.4
IBIO,2026-07-24,1.409999966621399,1.3949999809265137,1.0752678064499148,742059.3
IBIO,2026-07-27,1.440000057220459,1.4290000200271606,0.769771661241073,775077.2
IBIO,2026-07-28,1.4500000476837158,1.4643000364303589,-0.9765750454738287,771545.5
IBIO,2026-07-29,1.3899999856948853,1.409999966621399,-1.4184383971608912,761585.2
IBIO,2026-07-30,1.3600000143051147,1.3700000047683716,-0.7299263086460758,740732.6
IBIO,2026-07-31,1.399999976158142,1.399999976158142,0.0,636629.3
IBIO,2026-08-03,1.440000057220459,1.409999966621399,2.1276660503010794,647573.3
MBVI,2026-07-08,10.180000305175781,10.180000305175781,0.0,100.0
MBVI,2026-07-10,10.1899995803833,10.180000305175781,0.09822470439844325,2723.0
MBVI,2026-07-17,10.180000305175781,10.1899995803833,-0.09812831814801119,20666.0
MBVI,2026-07-20,10.1899995803833,10.180000305175781,0.09822470439844325,40499.5
MBVI,2026-07-21,10.170000076293945,10.1899995803833,-0.19626599522002317,32799.8
MBVI,2026-07-22,10.170000076293945,10.170000076293945,0.0,29194.666666666668
MBVI,2026-07-23,10.15999984741211,10.15999984741211,0.0,47881.42857142857
MBVI,2026-07-24,10.170000076293945,10.15999984741211,0.09842745110260147,48146.625
MBVI,2026-07-27,10.170000076293945,10.170000076293945,0.0,43464.444444444445
MBVI,2026-07-28,10.170000076293945,10.170000076293945,0.0,55574.1
MBVI,2026-07-29,10.170000076293945,10.170000076293945,0.0,55574.4
MBVI,2026-08-03,10.199999809265137,10.170000076293945,0.29498262287254207,55956.1
MBVI,2026-08-04,10.199999809265137,10.199999809265137,0.0,50329.9
SDST,2026-07-08,1.6200000047683716,1.6100000143051147,0.621117414559334,37348.0
SDST,2026-07-09,1.75,1.690000057220459,3.55029235195547,885667.5
SDST,2026-07-10,1.7999999523162842,1.774999976158142,1.4084493799404276,834020.6666666666
SDST,2026-07-13,1.778499960899353,1.7200000286102295,3.4011587974444297,699597.75
SDST,2026-07-14,1.7000000476837158,1.690000057220459,0.5917153919925783,633899.6
SDST,2026-07-15,1.7400000095367432,1.6950000524520874,2.6548646426031763,554284.5
SDST,2026-07-16,1.7699999809265137,1.7699999809265137,0.0,503722.5714285714
SDST,2026-07-17,1.7100000381469727,1.7200000286102295,-0.5813947847045612,462383.0
SDST,2026-07-20,1.7899999618530273,1.7599999904632568,1.7045438382004816,441895.0
SDST,2026-07-21,1.7300000190734863,1.6929999589920044,2.1854731823804303,412214.6
SDST,2026-07-22,1.6799999475479126,1.6699999570846558,0.5988018395350123,423808.4
SDST,2026-07-23,1.7200000286102295,1.7549999952316284,-1.994300097805958,273288.5
SDST,2026-07-24,1.6699999570846558,1.6749999523162842,-0.29850718650553654,217909.1
SDST,2026-07-27,1.6100000143051147,1.5850000381469727,1.5772855240665875,211241.4
SDST,2026-07-28,1.4500000476837158,1.4443999528884888,0.3877108126477066,230596.6
SDST,2026-07-29,1.309999942779541,1.2899999618530273,1.5503861641813224,254437.1
SDST,2026-07-30,1.0,0.9708999991416931,2.997219166137833,275071.0
SDST,2026-07-31,0.7343999743461609,0.741100013256073,-0.9040667642785534,325691.3
SDST,2026-08-03,0.6000000238418579,0.531000018119812,12.994350916665526,372519.1
SDST,2026-08-04,0.699999988079071,0.6924999952316284,1.0830314655719266,2987118.3
SDST,2026-08-05,0.6898999810218811,0.694100022315979,-0.6051060595105258,3066816.1
FMST,2026-07-08,1.7649999856948853,1.749500036239624,0.8859645118142911,232416.0
FMST,2026-07-09,1.774999976158142,1.7649999856948853,0.5665717022269444,166953.5
FMST,2026-07-10,1.6699999570846558,1.6699999570846558,0.0,302758.6666666667
FMST,2026-07-13,1.7699999809265137,1.7699999809265137,0.0,264276.75
FMST,2026-07-14,1.7999999523162842,1.7649999856948853,1.9830009577943053,241983.4
FMST,2026-07-15,1.6799999475479126,1.6799999475479126,0.0,215477.83333333334
FMST,2026-07-16,1.6100000143051147,1.6299999952316284,-1.226992698467561,221971.0
FMST,2026-07-17,1.590000033378601,1.6100000143051147,-1.242234829118668,207167.75
FMST,2026-07-20,1.9299999475479126,1.9313000440597534,-0.0673171688593715,241182.44444444444
FMST,2026-07-21,1.850000023841858,1.850000023841858,0.0,235372.8
FMST,2026-07-22,1.9450000524520874,1.9800000190734863,-1.7676750648606903,236909.6
FMST,2026-07-23,1.7300000190734863,1.7100000381469727,1.1695895017748938,253628.8
FMST,2026-07-24,1.7200000286102295,1.6699999570846558,2.994016335956057,206722.9
FMST,2026-07-27,1.649999976158142,1.6399999856948853,0.6097555213709185,205551.2
FMST,2026-07-28,1.5,1.5199999809265137,-1.31578823536055,208261.4
FMST,2026-07-29,1.4199999570846558,1.4341000318527222,-0.9832002269639752,219816.0
FMST,2026-07-30,1.4248000383377075,1.3600000143051147,4.764707599337933,201266.6
FMST,2026-07-31,1.3899999856948853,1.4249999523162842,-2.456138090707146,196717.4
FMST,2026-08-03,1.3600000143051147,1.3849999904632568,-1.8050524426198775,156420.0
FMST,2026-08-04,1.350000023841858,1.309999942779541,3.053441435840466,157372.7
FMST,2026-08-05,1.4800000190734863,1.4249999523162842,3.859653936675689,144325.8
TACT,2026-07-08,5.210000038146973,5.110000133514404,1.9569452450051774,25741.0
TACT,2026-07-09,5.150000095367432,5.079999923706055,1.3779561557613005,19961.0
TACT,2026-07-10,5.170000076293945,5.139999866485596,0.5836616845840862,19323.666666666668
TACT,2026-07-13,5.190000057220459,5.144999980926514,0.8746370546310805,18238.75
TACT,2026-07-14,5.394999980926514,5.309999942779541,1.6007540313169766,22575.2
TACT,2026-07-15,5.269999980926514,5.300000190734863,-0.5660416741266188,21903.0
TACT,2026-07-16,5.329999923706055,5.304999828338623,0.4712553473401519,20506.714285714286
TACT,2026-07-17,5.0,5.182000160217285,-3.5121604513739295,19125.875
TACT,2026-07-20,5.25,5.199999809265137,0.9615421647857579,20806.0
TACT,2026-07-21,5.179999828338623,5.120100021362305,1.169895250608421,21422.7
TACT,2026-07-22,5.099999904632568,5.21999979019165,-2.2988484747559017,20699.3
TACT,2026-07-23,5.099999904632568,5.03000020980835,1.3916439742432107,20421.6
TACT,2026-07-24,5.0,5.0553998947143555,-1.0958558347140552,20172.1
TACT,2026-07-27,5.150000095367432,5.050000190734863,1.9801960565474082,19561.7
TACT,2026-07-28,5.0,5.139999866485596,-2.723732881754308,17396.1
TACT,2026-07-29,4.880000114440918,4.949999809265137,-1.4141353034639956,16854.8
TACT,2026-07-30,4.791999816894531,4.900000095367432,-2.2040872728758973,15885.9
TACT,2026-07-31,4.920000076293945,4.929999828338623,-0.2028347341352258,15564.4
TACT,2026-08-03,5.300000190734863,5.179999828338623,2.3166093894394555,13530.8
TACT,2026-08-04,5.577499866485596,5.539999961853027,0.6768935900863317,14953.1
TACT,2026-08-05,5.550000190734863,5.631199836730957,-1.4419599437130266,14638.9
BHST,2026-07-07,2.9000000953674316,2.890000104904175,0.3460204186943589,57319.0
BHST,2026-07-08,2.9000000953674316,2.95989990234375,-2.0237105629446335,31113.0
BHST,2026-07-09,2.890000104904175,2.859999895095825,1.0489584233828948,43899.333333333336
BHST,2026-07-10,2.740000009536743,2.7799999713897705,-1.4388475634778752,47888.5
BHST,2026-07-13,2.799999952316284,2.7799999713897705,0.7194237817389376,40186.0
BHST,2026-07-14,2.8499999046325684,2.7100000381469727,5.166046661066616,39581.5
BHST,2026-07-15,2.9200000762939453,2.8499999046325684,2.4561464562716053,38475.57142857143
BHST,2026-07-16,2.759999990463257,2.8350000381469727,-2.645504291870759,39882.125
BHST,2026-07-17,2.8499999046325684,2.815000057220459,1.2433338081942473,40999.555555555555
BHST,2026-07-20,2.75,2.7200000286102295,1.1029401130226768,44558.7
