date,ticker,gap_pct,open_price,avg_volume,gap_rank,signalled,signal_time,signal_multiple,entry_time,filled
2026-08-06,HTZ,16.66667430828807,1.8200000524520874,29082225.0,1,False,,,,False
2026-08-06,LVWR,15.32257552821732,1.4299999475479126,1804650.0,2,False,,,,False
2026-08-06,LESL,13.970583530342754,1.5499999523162842,1494700.0,3,False,,,,False
2026-08-06,DYAI,12.37113414731564,1.090000033378601,184075.0,4,False,,,,False
2026-08-06,PFAI,12.149531669060321,2.4000000953674316,69050.0,5,False,,,,False
2026-08-06,CHR,11.66666909500411,2.009999990463257,27725.0,6,False,,,,False
2026-08-06,SNOA,10.619469493340473,1.25,75675.0,7,False,,,,False
2026-08-06,LPSN,9.90566271146717,2.3299999237060547,303925.0,8,False,,,,False
2026-08-06,BRLT,8.65384968074834,1.1299999952316284,62750.0,9,True,10:15,6.856198989506413,10:20,True
2026-08-06,EVTL,8.461539872299337,1.409999966621399,1885225.0,10,True,09:44,6.067855922456069,10:04,True
2026-08-06,AMST,8.135935664306645,1.0499999523162842,85575.0,11,False,,,,False
