signal_i,entry_i,fill,signal_time,entry_time,signal_vol,signal_mult,outcome,exit_px,exit_i,return_pct,minutes,exit_time,ticker,date,gap_pct,open_price,baseline
38,57,0.4983299866318703,10:08,10:27,19351.0,8.956357201197932,EOD,0.4966999888420105,378,-1.3270920541781295,332.0,15:59,EVGN,2026-07-09,19.512198490446934,0.4900000095367431,2160.5882352941176
0,5,4.147500050067902,09:30,09:35,516917.0,8.728339155830163,SL,3.7327500450611115,15,-11.000000000000002,10.0,09:45,IOTR,2026-07-09,19.209034905827355,4.21999979019165,59222.83618581907
12,36,2.467499899864197,09:42,10:06,14411.0,7.715327958436951,TP,2.714249889850617,40,9.000000000000005,4.0,10:10,SUNE,2026-07-09,15.165885666873184,2.430000066757202,1867.8402366863904
6,28,8.977500200271606,09:36,10:04,7627.0,6.296975573204936,SL,8.062999725341797,196,-11.186582617978022,282.0,14:46,AP,2026-07-09,14.086474450972228,8.180000305175781,1211.2163865546217
103,115,3.9100000858306885,14:56,15:25,7954.0,5.466767822825165,EOD,3.880000114440918,131,-1.76726267854792,33.0,15:58,WNW,2026-07-10,18.674702904950912,3.940000057220459,1454.9730769230769
1,5,1.3373849987983704,09:31,09:35,117211.0,6.796350348085304,TP,1.4711234986782076,11,9.000000000000012,6.0,09:41,ELAB,2026-07-10,18.396232356461887,1.2549999952316284,17246.168016194333
7,36,2.3729999899864196,09:37,10:06,16683.0,8.02885690572201,TP,2.6102999889850618,60,9.000000000000009,24.0,10:30,WOK,2026-07-10,17.326728115711855,2.369999885559082,2077.879852125693
48,49,3.753750050067902,10:21,10:22,62126.0,6.164539178203474,SL,3.378375045061112,51,-10.999999999999998,2.0,10:24,CRE,2026-07-10,12.714772324601562,3.2799999713897705,10077.963364993217
1,13,1.5487500250339508,09:31,09:43,22468.0,6.585508446985088,SL,1.3938750225305556,22,-11.000000000000005,9.0,09:52,YYGH,2026-07-10,10.583940176776064,1.5149999856948853,3411.7335329341317
8,12,7.260749959945679,09:39,09:43,6282.0,5.706365698136956,TP,7.986824955940247,13,9.000000000000005,1.0,09:44,BRAI,2026-07-13,19.927534573069636,6.619999885559082,1100.875816993464
5,10,0.3524850055575371,09:35,09:40,589380.0,7.36711369088377,TP,0.3877335061132908,151,9.000000000000007,141.0,12:01,ELPW,2026-07-13,10.666658057107208,0.3319999873638153,80001.48019017432
53,62,1.5012900352478027,10:23,10:32,40559.0,6.7053583702690736,TP,1.6514190387725831,63,9.00000000000001,1.0,10:33,YYGH,2026-07-14,11.864416197229556,1.3200000524520874,6048.744565217391
31,36,0.3104850143194199,10:25,10:33,12844.0,5.152969172434088,SL,0.2794365128874779,109,-11.0,187.0,13:40,IZM,2026-07-15,11.913354215758908,0.3100000023841858,2492.543535620053
22,29,0.5451600283384324,09:52,09:59,173607.0,9.598509082248299,TP,0.5996760311722756,55,9.000000000000007,26.0,10:25,GCTK,2026-07-15,11.342155797532143,0.5889999866485596,18086.87146226415
17,29,0.7663950026035309,09:55,10:20,14989.0,5.7776875354371455,SL,0.6897555023431778,70,-10.999999999999993,118.0,12:18,INEO,2026-07-16,17.117111311941173,0.7799999713897705,2594.2905198776757
148,166,1.6537500500679017,12:08,12:27,17147.0,5.196545300123783,SL,1.4883750450611115,304,-11.0,177.0,15:24,HOVR,2026-07-16,10.526312487277371,1.8899999856948853,3299.6922011998154
16,41,2.0790000200271606,09:46,10:11,16149.0,8.480669742267235,SL,1.8711000180244446,115,-10.999999999999996,77.0,11:28,PMAX,2026-07-17,17.111995945121976,2.059999942779541,1904.212814645309
1,5,1.4227500200271608,09:31,09:35,29224.0,9.46742275970875,TP,1.565025022029877,7,9.000000000000005,2.0,09:37,TRUG,2026-07-17,16.23932172560853,1.3600000143051147,3086.7957142857144
8,35,0.13828499391674995,09:38,10:05,422838.0,7.148591565316592,EOD,0.13369999825954437,389,-4.315613305060292,354.0,15:59,FFAI,2026-07-17,12.096774871931126,0.1389999985694885,59149.83338137792
30,41,1.2600000500679016,10:00,10:11,14178.0,8.826312512969496,TP,1.3860000550746918,79,9.000000000000004,38.0,10:49,GLXG,2026-07-17,11.214953166906032,1.190000057220459,1606.3333333333333
12,15,2.37195006608963,09:42,09:45,807889.0,7.506369406108999,SL,2.1347550594806672,34,-10.999999999999998,19.0,10:04,AMC,2026-07-20,13.402060968790517,2.200000047683716,107627.13054629392
23,31,0.27887999564409255,09:53,10:01,60767.0,6.661304952632076,EOD,0.2777000069618225,385,-1.4231170039804304,358.0,15:59,NXXT,2026-07-20,11.071424351967128,0.3109999895095825,9122.386744355426
67,83,3.6277499198913574,10:37,10:53,29501.0,5.618436647506176,EOD,3.4649999141693115,339,-5.486252065768632,306.0,15:59,NNBR,2026-07-20,10.37735587353529,3.509999990463257,5250.74889170361
17,40,1.7010000050067902,09:47,10:10,33113.0,6.1282807526196805,SL,1.5309000045061112,100,-10.999999999999998,60.0,11:10,RDGT,2026-07-21,13.924044520594196,1.7999999523162842,5403.30989010989
126,133,1.1658149421215058,11:36,11:43,55095.0,6.2886673270129405,TP,1.2823964363336564,149,9.0,16.0,11:59,LASE,2026-07-21,12.8440349915345,1.2300000190734863,8760.997701904136
1,5,0.9194849967956543,09:31,09:35,16020.0,5.526930205316238,TP,1.0114334964752199,7,9.00000000000001,2.0,09:37,CCTG,2026-07-21,12.1290379840801,0.8690000176429749,2898.5348837209303
59,62,0.829800009727478,11:29,11:38,28129.0,6.38182863019515,EOD,0.8440499901771545,163,0.7172788964363206,261.0,15:59,LVWR,2026-07-21,12.121215186281134,0.925000011920929,4407.670846394984
19,20,12.683999919891358,10:19,10:20,512951.0,8.68067151497958,SL,11.415599927902223,21,-10.999999999999993,1.0,10:21,ADVB,2026-07-22,17.514121249722855,8.319999694824219,59091.16582914573
11,27,4.658954930305481,09:41,09:57,22054.0,7.623978888090363,EOD,4.590000152587891,381,-2.480048181386233,362.0,15:59,AIRJ,2026-07-22,16.657819250384158,4.3979997634887695,2892.7152506221114
1,6,2.3313149571418763,09:31,09:36,7593.0,6.88462161199443,TP,2.564446452856064,23,9.000000000000002,17.0,09:53,SNTG,2026-07-22,12.44019144214157,2.3499999046325684,1102.892857142857
0,3,0.9586499869823456,09:31,09:38,11728.0,6.532188442794151,SL,0.8600000143051147,16,-11.290509989757876,13.0,09:51,WCT,2026-07-22,12.024538683816813,0.912999987602234,1795.4166666666667
3,11,1.7432099997997286,09:33,09:41,6987.0,5.996245066578141,TP,1.9175309997797017,50,9.000000000000012,39.0,10:20,WLDS,2026-07-23,16.216216651604412,1.7200000286102295,1165.2292263610316
3,4,0.2625,09:33,09:34,247638.0,6.6269544288085385,TP,0.28875000000000006,5,9.000000000000018,1.0,09:35,GRML,2026-07-23,15.765763951648283,0.2569999992847442,37368.29680365297
