signal_i,signal_time,signal_volume,signal_multiple,entry_i,entry_time,fill,outcome,exit_price,exit_time,return_pct,minutes_held,ticker,date,gap_pct,open_price
0,09:30,3644.0,7.711718226580031,5,09:35,2.03,TP,2.233,10:08,9.000000000000016,33.0,WRAP,2026-07-09,8.805030362005615,1.7300000190734863
3,09:35,3591.0,9.8540023075244,9,09:41,1.4595,SL,1.31355,09:54,-11.000000000000002,13.0,ELAB,2026-07-10,18.396232356461887,1.2549999952316284
4,09:35,3256.0,5.618375773579983,13,09:45,2.05275,TP,2.27,11:13,9.583363780294723,88.0,IKT,2026-07-14,5.10203585134164,2.059999942779541
11,10:10,5685.0,9.344504071752917,12,10:11,2.5,SL,2.25,10:14,-11.0,3.0,LEDS,2026-07-15,6.2500046566128535,2.380000114440918
2,09:32,42588.0,6.8101210496298155,24,09:57,2.12625,EOD,2.07,15:59,-3.645502645502662,362.0,AMC,2026-07-15,4.591832266207476,2.049999952316284
23,10:00,5751.0,8.091652691741675,32,10:09,2.3100000000000005,SL,2.075,10:34,-11.173160173160186,25.0,STIM,2026-07-16,4.891299594383921,1.9299999475479128
3,09:37,1328.0,8.175182481751824,5,09:39,1.63,SL,1.4669999999999999,09:50,-11.000000000000004,11.0,TRUG,2026-07-17,16.23932172560853,1.3600000143051147
0,09:30,38302.0,5.844849673977221,1,09:31,2.2680000000000002,EOD,2.45,15:59,7.024691358024688,388.0,AMC,2026-07-20,13.402060968790517,2.200000047683716
7,09:41,3603.0,5.405945272735282,8,09:45,1.1655000000000002,TP,1.2820500000000004,12:05,9.000000000000012,140.0,LASE,2026-07-21,12.8440349915345,1.2300000190734863
6,09:38,1316.0,6.457824933687003,10,09:46,1.31,TP,1.47,10:50,11.21374045801526,64.0,LICN,2026-07-22,8.695654427396825,1.25
4,09:36,6701.0,6.668304469647261,5,09:47,2.62,SL,2.358,09:47,-11.0,0.0,CJMB,2026-07-23,7.142857649699376,1.7999999523162842
5,09:35,7200.0,5.583183896947253,28,10:00,2.1525,EOD,2.01,15:59,-7.620209059233454,359.0,PALI,2026-07-23,6.842105098048074,2.0299999713897705
1,09:31,7200.0,7.924288356048512,6,09:39,3.0975,TP,3.4072500000000003,09:40,9.000000000000005,1.0,CJMB,2026-07-24,17.446812871032588,2.759999990463257
6,09:38,4578.0,7.676749435665915,16,09:58,2.625,TP,2.89,10:33,9.0952380952381,35.0,WLDS,2026-07-24,14.79820273020276,2.559999942779541
0,09:30,1410.0,7.085904022614588,2,09:32,1.82,TP,2.0020000000000002,10:01,9.000000000000009,29.0,GMEX,2026-07-27,16.326530943243892,1.7100000381469729
8,09:52,1500.0,5.726077568535271,15,10:00,1.9425000000000001,EOD,1.87,15:59,-4.732303732303732,359.0,BAER,2026-07-27,9.729726769089998,2.0299999713897705
6,09:39,14232.0,6.121285355012899,7,09:40,2.5095,TP,2.7604500000000005,09:46,9.000000000000018,6.0,LVWR,2026-07-27,9.589039865544988,1.600000023841858
10,09:40,9140.0,8.769720577804609,21,09:51,1.5435,TP,1.6978500000000003,15:02,9.000000000000012,311.0,OPK,2026-07-28,11.290321340173897,1.3799999952316284
20,10:56,1923.0,7.051773220747888,21,10:57,1.1760000000000002,SL,1.0584000000000002,12:39,-10.999999999999993,102.0,GVH,2026-07-30,12.087906761570355,1.0199999809265137
1,09:32,1900.0,5.058168338993977,3,09:35,1.47,TP,1.63,09:46,9.884353741496595,11.0,LUNG,2026-07-30,11.999998092651367,1.399999976158142
8,09:44,1833.0,6.062569849276588,12,09:48,1.875,TP,2.0625,09:56,9.0,8.0,DGNX,2026-07-30,10.96774719508224,1.7200000286102295
2,09:33,29849.0,9.474262851235345,20,10:02,1.3335000000000001,EOD,1.3,15:59,-3.512185976752912,357.0,SLNH,2026-07-30,6.1403555553045885,1.2100000381469729
0,09:30,45481.0,5.878341004895962,4,09:34,2.9925,EOD,2.85,15:59,-5.761904761904764,385.0,AMC,2026-08-03,4.964542844622862,2.9600000381469727
