entry,exit,filter,n,avg,med,win%,pf,IS,OOS,tkA,tkB,notop5%,port%,maxDD%,sharpe
g1/v0,tp15/sl20,all,1723,0.9246782963261609,0.11650103990206606,51.36390017411492,1.3382916200047021,1.0908984257470644,0.6391676954754293,1.4649441794800895,0.34340427987259703,0.1139504614895584,50.76863893562407,-7.384965016198882,7.954756991933692
g1/v0,tp15/sl20,price<3,662,2.0230209556748626,1.0767698289290641,56.19335347432024,1.6827649471397617,1.9865897391926615,2.0800682869105573,2.904768684144546,1.1465849605092133,1.2083758358001653,125.34746501208195,-4.817846561130174,13.392005785902922
g1/v0,tp15/sl20,price<5,1092,1.4987697143842,0.4824601415021845,53.38827838827839,1.5241419346530762,1.6110853250533899,1.3197583729138287,2.188762005557705,0.7751192626656461,0.6627037504798932,81.35614140576672,-5.025395894220253,10.90684903700405
g1/v0,tp15/sl20,gap<20,1577,0.982474801691561,0.07487736485905705,51.10970196575777,1.4396475184791,0.9156919328231233,1.0998118352803368,1.4496626902607552,0.48532329199685564,0.2851004849683597,54.305904769122826,-4.314667827204046,10.056721213655942
g1/v0,tp15/sl20,"price<3,gap<20",583,1.923830376378966,0.6802849713220793,55.40308747855918,1.802174324067718,1.6342564074358479,2.371468738849988,2.804564214541764,1.0986910329839201,1.269533648387229,111.15769840835074,-3.224194757080549,12.743940435916148
g1/v0,tp15/sl20,"price<5,gap<50",1036,1.4498413985872853,0.42477433036078827,52.99227799227799,1.5652178880682812,1.5436232025435042,1.303727032423399,2.1123629350672477,0.7796011645949358,0.7400358399838411,74.00817983903822,-4.9979344429374875,10.49283750477036
g1/v0,tp15/sl20,$vol>1m,1215,0.810970784755577,0.11650103990206606,51.440329218106996,1.2991089896760755,0.9138089131581728,0.6198128519601641,1.3287346527531707,0.2660942817783797,0.03860211491274794,48.515850538770124,-8.117647764801625,6.389214330808194
g1/v0,tp10/sl20,all,1723,0.7372956306081646,0.44389492220870497,53.33720255368544,1.2881351500169778,0.7764421900878486,0.6700549314388012,1.1303705614215624,0.3143848917932678,0.10226152901247605,42.00946099273335,-6.484755109007493,8.207847431269846
g1/v0,tp10/sl20,price<3,662,1.4393160615004799,1.5980445307206161,58.610271903323266,1.5220878086959702,1.2254399018343023,1.7742229161715488,2.0551070254166914,0.8272346817042452,0.7502547386182603,77.5282717949842,-3.826997782460256,11.066448192987348
g1/v0,tp10/sl20,price<5,1092,1.1941366695730709,0.9923540667329306,55.952380952380956,1.4550810021384453,1.14652331082894,1.2700239943172786,1.7479091351194118,0.6133509130244688,0.4979913068889823,64.73879408377398,-4.725345472793655,11.007291723412218
g1/v0,tp10/sl20,gap<20,1577,0.7450636847861114,0.31246384881430234,52.377932783766646,1.3428578729000136,0.6288735730790759,0.9492088985371091,1.0896268410854435,0.37840158259847106,0.2623754693028439,39.519220679484924,-4.89221242788941,8.553313860583987
g1/v0,tp10/sl20,"price<3,gap<20",583,1.4025521221653678,1.2037742225927186,57.46140651801029,1.612031737506214,0.9643527724653445,2.079943256636146,2.0772409110425203,0.770451662154215,0.9384850590637128,70.63892628112585,-3.699994966126903,10.3734472487642
g1/v0,tp10/sl20,"price<5,gap<50",1036,1.1149476672883343,0.7743957192500758,55.308880308880305,1.4643714229695983,1.0319778399936654,1.2442167068511396,1.6142762303784506,0.6098016840457121,0.5887461690870692,55.9774784260761,-5.5556335219267625,10.2554928252603
g1/v0,tp10/sl20,$vol>1m,1215,0.5644353785928454,0.42347266906948855,53.00411522633745,1.2196443552551823,0.5251224102852696,0.6375112490939864,0.9699939673819498,0.13763976910701445,-0.030701724621036246,38.22969033502446,-4.256376927739275,6.157513904260496
g1/v0,tp15/sl30,all,1723,0.9455283640555198,0.170120674176798,51.712130005803836,1.3418861218582405,1.1346889966512714,0.6206136497072966,1.4823551813521145,0.36795445098821983,0.12550297746765007,52.76587328971307,-8.935021463083519,7.8683929205584064
g1/v0,tp15/sl30,price<3,662,2.081418283684077,1.209514347843496,56.797583081571,1.6903823624246588,2.0850811698684564,2.0756826014418706,3.1060988736405575,1.0629104683658885,1.2427889249902306,125.11752358723052,-4.394632488323547,12.087955631705384
g1/v0,tp15/sl30,price<5,1092,1.5475281413163002,0.5750225021026149,53.84615384615385,1.5354033176476567,1.6646478673074367,1.3608598844515674,2.244036018806318,0.8170442698023797,0.6976083787730575,85.49497128644666,-7.375169777950459,10.610944260281146
g1/v0,tp15/sl30,gap<20,1577,0.9680297762500227,0.08341100831199011,51.17311350665821,1.4287092296689807,0.9328443653922381,1.0298502970753263,1.457791729152552,0.44685638919536813,0.26990381710891653,53.41376483528511,-4.881257300551742,9.59813570308798
g1/v0,tp15/sl30,"price<3,gap<20",583,1.9435634247872,0.7224983594131076,55.57461406518011,1.8089584489845134,1.6990165207894279,2.3215966300937994,2.9367529639714727,1.0130669129932965,1.2902996542031129,114.08282816207351,-3.37956102047197,12.79952673749595
g1/v0,tp15/sl30,"price<5,gap<50",1036,1.522445936461048,0.44423161490409546,53.28185328185329,1.6010356260122,1.6049747772877032,1.3938639647039641,2.137679461414341,0.9000446422849994,0.8163995975850772,82.84880497442214,-5.907469465709491,12.350376848419035
g1/v0,tp15/sl30,$vol>1m,1215,0.7831695202121519,0.13402693313966196,51.60493827160494,1.2843448659216332,0.843743484165803,0.6705732107453651,1.2553141640688514,0.28630108588322656,0.009356628834599548,49.955549039752725,-6.32215908118992,6.510846539281999
g1/v0,tp20/sl20,all,1723,1.0025060108411767,0.030509248056087124,50.319210679048176,1.3474332282675492,1.198232365628484,0.6663135812459446,1.7429319804072434,0.20587903394660179,-0.03067444128765297,55.10514865160025,-7.38894846260364,7.944628226664341
g1/v0,tp20/sl20,price<3,662,2.211357238569577,0.6652237349358654,54.68277945619335,1.6992967110218216,2.184415033370671,2.2535458079508097,3.298244225608184,1.1310177635010825,1.2081225319202227,142.73173506571126,-6.177536039069983,13.047693759567656
g1/v0,tp20/sl20,price<5,1092,1.6664357757991195,0.3621113512208972,52.197802197802204,1.5484125802704996,1.8444172514760875,1.3827645877249022,2.588025481023315,0.6998904751981336,0.6294983928860707,93.82052392103326,-5.141511798684609,11.429290629800839
g1/v0,tp20/sl20,gap<20,1577,1.1341578916490302,0.03879042134941746,50.538998097653774,1.500761481089882,1.124084143361446,1.1518573969445236,1.6319997071614463,0.6043864309008697,0.19150537048911023,63.16464755575784,-3.7674462027492575,10.609854725527413
g1/v0,tp20/sl20,"price<3,gap<20",583,2.214731872166308,0.5486139169142341,54.71698113207547,1.9101903734094021,1.956927667403707,2.6132588961224674,3.0876983180712463,1.3968696205211497,1.32598747926548,139.58571218968166,-5.78630584068116,12.754502332880294
g1/v0,tp20/sl20,"price<5,gap<50",1036,1.716986977143496,0.32696443567500033,52.123552123552116,1.6517712926124857,1.9083528648058365,1.4188341990819229,2.5311444538726016,0.89334417058842,0.7659852578268777,91.94364243562868,-6.582632448830507,11.27782956859579
g1/v0,tp20/sl20,$vol>1m,1215,0.9004081312596498,0.03062644021260308,50.288065843621396,1.3119438687277891,1.0320580537153856,0.6556941577536932,1.7383583084423155,0.018578806285323997,-0.10538340455081299,53.67000166540914,-8.567641568754665,6.353076641849724
g1/v0,tp10/sl15,all,1723,0.7288504349245184,0.38716567668949886,52.75681950087058,1.2898303210474467,0.7579287196112326,0.6789036651708399,1.1034632358849774,0.32580316834898826,0.09370469405230218,39.18306009495245,-7.944976410546461,7.392921354592085
g1/v0,tp10/sl15,price<3,662,1.4208442044604155,1.4603957905665208,57.85498489425982,1.5248113516120192,1.2543240381705771,1.6815967129142706,2.09803933720628,0.7477285604660316,0.730813769841595,67.70774854267711,-3.7179083298969138,9.81596750680141
g1/v0,tp10/sl15,price<5,1092,1.1754964515327255,0.8433728395975976,55.311355311355314,1.4548326556371252,1.1541596499683613,1.209503562814646,1.7002644391700141,0.6251300254741056,0.47890500171851935,59.78385427303328,-6.376430433756654,10.51421939737977
g1/v0,tp10/sl15,gap<20,1577,0.7479059972090276,0.2947518430660183,52.3145212428662,1.3455251843178968,0.6375498447471918,0.9418009853631272,1.096589984646825,0.3768587697392248,0.26536568057098153,38.86404581680243,-4.57937311829136,8.464520119197717
g1/v0,tp10/sl15,"price<3,gap<20",583,1.3890285408167664,1.2037734310929649,57.289879931389365,1.6066370724725574,1.063423071461734,1.8923662532695238,2.1629418432785643,0.6639669086100322,0.9242535646120262,65.95453479308104,-3.2034916730525267,10.299346010794546
g1/v0,tp10/sl15,"price<5,gap<50",1036,1.1296082997526782,0.7635391444185187,55.115830115830114,1.4768397627086411,1.0646293632475103,1.2308470872459154,1.650572100431049,0.6025750179013558,0.6041658799835767,54.81681446501155,-4.491779216871464,10.657248132674209
g1/v0,tp10/sl15,$vol>1m,1215,0.5721203187539787,0.3395434322107558,52.42798353909465,1.2279200587994767,0.5743178540076208,0.5680354885177972,0.9544507606296552,0.1697691949557585,-0.022561804258898855,35.14236992563258,-6.723622880733557,5.499916559769676
g1/v0,trail5,all,1723,0.4562155734098784,-0.7779959759413102,43.238537434706906,1.2279684204895545,0.3643227464919058,0.6140567224850709,0.7815605097619285,0.10617578044315457,-0.5496528444683776,26.656476136411843,-3.069318328528208,6.755258949830103
g1/v0,trail5,price<3,662,0.7421535735665615,-1.0773886852594834,43.50453172205438,1.3349880690974583,0.4878003008252665,1.1404431944482796,1.3171859790589397,0.17058521870967958,-0.4727907702930059,31.28626663846614,-4.084585175730895,5.253608317302249
g1/v0,trail5,price<5,1092,0.6647766963717551,-0.9229786964506909,42.94871794871795,1.319252680962844,0.5097322173289949,0.9118903434921635,1.2083691248369814,0.09466756407895631,-0.45786761253485153,32.88826939001677,-2.579299152756589,7.569707653819221
g1/v0,trail5,gap<20,1577,0.39070430324447425,-0.7428783001376035,43.563728598604946,1.2116022868391823,0.29419665627886427,0.5602675640844008,0.7599904057762669,-0.002266379161739461,-0.45577668521150966,23.368717820365823,-2.471135267309091,7.0000436407895705
g1/v0,trail5,"price<3,gap<20",583,0.5488204710004355,-0.9714319875251797,43.910806174957116,1.2706677173699332,0.4109189340151086,0.7619957727157444,1.4266089724462874,-0.2735594539421897,-0.4205721912687549,26.432497829954073,-4.992264386796161,5.029367889988453
g1/v0,trail5,"price<5,gap<50",1036,0.4560450955456402,-0.995278888014069,42.760617760617755,1.2267944929584271,0.39520801251457294,0.5508307730582415,1.0360355337297613,-0.13070251279208223,-0.47343535753474597,19.11319004085732,-3.696856466327746,5.089293290600537
g1/v0,trail5,$vol>1m,1215,0.4463913834022702,-0.6941591107234282,43.45679012345679,1.2287407546666984,0.2559159703855594,0.8004515628921561,0.7009349720980254,0.17851865408224413,-0.5255796509601323,30.880681795042243,-4.858664861598803,6.010856402258009
g1/v0,trail8,all,1723,0.7655983312322581,-0.4956114173913603,46.31456761462565,1.3406712092864448,0.6855149198790663,0.9031548532569044,1.2929986883331008,0.19816638076111034,-0.4472735256151407,43.902500562509815,-4.908071735700763,8.288727001775317
g1/v0,trail8,price<3,662,1.4890527248853782,-0.10118927359508767,49.09365558912387,1.62546378307711,1.2238041943924765,1.9044031369750387,2.368658575529301,0.6147457046670217,0.11699293880636052,77.35717982698269,-4.320130545270481,10.209518070752052
g1/v0,trail8,price<5,1092,1.2718363511631936,-0.3127821224551705,47.43589743589743,1.5585770463062847,1.1668621260144802,1.4391468145237318,2.133770965498815,0.3678561458843708,-0.05735837162257259,68.0616152294378,-3.1628507138603696,11.18636572750943
g1/v0,trail8,gap<20,1577,0.7002418456872411,-0.32139437801953197,46.797717184527585,1.337572624438655,0.615327906318655,0.849435043354075,1.1938572242785306,0.1749678891496517,-0.3588253199150243,39.55477869073647,-3.5159662931875104,8.138255195205158
g1/v0,trail8,"price<3,gap<20",583,1.327158671768894,-0.009898586599377368,49.914236706689536,1.6143171558256195,1.2212088846147326,1.4909413121731427,2.3074910509839373,0.4087077384179223,0.16556247858976111,66.53728003792222,-4.734013679681113,8.307978268496058
g1/v0,trail8,"price<5,gap<50",1036,1.1173879445316917,-0.2895234848866962,47.58687258687259,1.5100943795404282,1.0970919412636375,1.1490096187592034,1.969874777613545,0.25496922601587535,-0.05652975191009281,53.900033075949395,-4.157628540274979,9.476839561488948
g1/v0,trail8,$vol>1m,1215,0.7139744090123975,-0.5041277092296959,46.008230452674894,1.3227504920919892,0.48447810448474793,1.1405675397814403,1.0945477166709254,0.31347243152715604,-0.4682225323573874,49.88142923163785,-5.357945796975586,7.108545144554065
g1/v0,trail10+tp20,all,1723,1.0478479850992468,-0.2317313943199475,48.46198491004063,1.4580262997712783,1.0799865478527264,0.9926446809375129,1.619977097729615,0.43229220488368186,0.026291859982663934,56.69982593688256,-4.473396775311392,10.492536220264801
g1/v0,trail10+tp20,price<3,662,1.9924509032276352,0.3260036405125377,52.567975830815705,1.8189620605845875,1.9263171832658812,2.0960091313848,2.724942829666146,1.2643715787556211,0.9911226059043693,113.72894685232882,-2.073060795968914,14.282476834332677
g1/v0,trail10+tp20,price<5,1092,1.621129378642131,-0.009900732581194227,49.908424908424905,1.6882048476893565,1.684081545582767,1.5207946897652507,2.3510007021578803,0.8556545759304924,0.5964107511109491,87.19749106849544,-3.5213475369859943,15.335269326840177
g1/v0,trail10+tp20,gap<20,1577,0.9635658008169194,-0.10675641021334581,48.82688649334179,1.4543307677992259,0.9405634799173201,1.0039807177821247,1.4788525113443085,0.41523059707507703,0.012036573129377653,49.72044123739045,-3.310699732633456,9.258931251150212
g1/v0,trail10+tp20,"price<3,gap<20",583,1.8429763807792425,0.3395434322107558,52.83018867924528,1.820450791349533,1.7855450357522924,1.9317567132663183,2.601959128045573,1.1319028434732443,0.9347718628780082,102.28481349937026,-2.8581137366674043,11.885826080223131
g1/v0,trail10+tp20,"price<5,gap<50",1036,1.5253603333294887,-0.009900732581194227,49.9034749034749,1.6680970180067844,1.629457317391667,1.3631746618647118,2.2099814247032845,0.8327630739008528,0.5659168343494522,75.32969186080621,-2.6891526840132483,13.333773719038904
g1/v0,trail10+tp20,$vol>1m,1215,0.9168637999819422,-0.23346954809303444,48.06584362139918,1.4051184549963376,0.8723635874434174,0.9995818421123766,1.498520003985893,0.30474924745751414,-0.07867815563713482,53.35801605377686,-5.7608543946086685,7.929903221098067
g1/v2,tp15/sl20,all,558,-0.6122391726380315,-1.162627726627185,40.32258064516129,0.8654812215763353,0.14169696318434372,-1.5080926987328542,-0.07468272886958616,-1.1694144647191937,-1.7610631092971276,-23.007178529986216,-29.69101489616788,-2.1670749723440323
g1/v2,tp15/sl20,price<3,298,0.35643512349778034,-0.6901018243320466,45.97315436241611,1.0785147608087864,0.7953729094923886,-0.1735416107031164,0.7608289475518925,-0.04256678290227673,-0.8179340483887022,12.251003468081434,-19.1562171055422,1.239986100720912
g1/v2,tp15/sl20,price<5,428,0.05645586078124639,-0.8219938808628819,43.45794392523364,1.012605717780701,0.5051963178054752,-0.5003582141650481,0.6414756379492661,-0.517730216809588,-1.1796916172625624,4.4186263557701055,-20.011741506875357,0.7426955427531223
g1/v2,tp15/sl20,gap<20,425,-0.8015712379638164,-1.3198265736159802,36.23529411764706,0.7638984142857311,-0.6916644065503466,-0.9275755345843087,-0.6737128582752787,-0.9324738647877949,-1.6963677848925187,-28.322543009445155,-29.030575444637897,-3.4380015631459306
g1/v2,tp15/sl20,"price<3,gap<20",227,-0.41049278073135015,-1.0,40.969162995594715,0.891103115080899,-0.5811972013010012,-0.22240179880738248,-0.3564442405207699,-0.45954523739305286,-1.354857472793778,-22.81614175510729,-27.49365003541111,-1.5007965960421379
g1/v2,tp15/sl20,"price<5,gap<50",373,-0.12615261605146072,-1.0,41.28686327077748,0.9671114323315311,0.3844561615332059,-0.7038699758329693,0.4366786758747061,-0.623604515481154,-1.0803923772932669,-14.983153406885119,-30.24198524451392,-1.0761922227553236
g1/v2,tp15/sl20,$vol>1m,357,-1.212426497016564,-1.1234596100108012,39.21568627450981,0.7603628833457163,-0.6975739869001164,-1.7981868378676122,-0.7153787327687176,-1.717898799641492,-2.228963452880175,-44.65083695015516,-44.94552613044861,-5.20079760857917
g1/v2,tp10/sl20,all,558,-0.46331189388000155,-0.6403327506224445,44.80286738351255,0.8852867413409724,-0.08397356528275893,-0.9140550843308427,-0.0988281549244164,-0.8410979590748414,-1.5493283546911758,-17.917405938367658,-22.18241379667499,-2.0961640425443018
g1/v2,tp10/sl20,price<3,298,0.23783445005264922,0.3126550787326494,50.671140939597315,1.0587032874874727,0.4221095439649165,0.015339336662282117,0.5442424451578168,-0.06448810511778248,-0.9119142883673487,4.698404361307573,-15.72491756616988,0.7620719996220602
g1/v2,tp10/sl20,price<5,428,0.21709262500818785,-0.16568921278346604,48.598130841121495,1.055849390036501,0.27211096699640036,0.14882379227935877,0.6284357441923186,-0.18663302900586665,-0.9775868732454291,13.564626602987762,-9.371631805981567,1.6753391694024733
g1/v2,tp10/sl20,gap<20,425,-0.7632793944944191,-1.0,39.05882352941176,0.7591502536699265,-0.7962527823834854,-0.7254765710054387,-0.7262320591109817,-0.8012088092917478,-1.5012302378235802,-30.818676513014065,-28.93207966569153,-4.292209051796961
g1/v2,tp10/sl20,"price<3,gap<20",227,-0.30158262606354935,-0.6787108351696297,45.37444933920705,0.912733208820227,-0.6692920001897316,0.10357862876067009,-0.18766300497371252,-0.40497186201062857,-1.1387414475859108,-25.684990655169237,-26.61695732552544,-2.117782045067166
g1/v2,tp10/sl20,"price<5,gap<50",373,-0.006951773163602387,-0.47479795529030766,46.11260053619303,0.9979496737459713,-0.0012425271844367705,-0.013411377185744219,0.28907366990710587,-0.26859042234225905,-0.861275956598042,-6.245268218145661,-16.464561605494954,-0.5320456462286512
g1/v2,tp10/sl20,$vol>1m,357,-1.174915769491103,-0.7014928134944635,43.417366946778714,0.7418899722980004,-1.0766584164219217,-1.2867055723841831,-0.8792523848993437,-1.4755903978895022,-2.0859275221681637,-40.463985603287675,-36.68370281040466,-5.423880813372991
g1/v2,tp15/sl30,all,558,-0.42548862174708146,-0.989435525101483,41.75627240143369,0.9070724297902019,0.49529167519171685,-1.5195922686978889,0.22300340633523474,-1.0976482420951759,-1.5968566886651097,-14.735671201009225,-27.96157163873638,-1.0738036417055457
g1/v2,tp15/sl30,price<3,298,0.6782215871662655,-0.3192967189594278,47.98657718120805,1.1488338156520894,1.4826613103996955,-0.2930648934785426,1.6067664197901164,-0.23794264768926718,-0.5393350934717813,23.131856463876723,-19.51768598611299,1.7715795880750824
g1/v2,tp15/sl30,price<5,428,0.26873048773734903,-0.5850384549467506,45.09345794392524,1.059256484619795,0.9076930767760165,-0.5241183792896886,1.0623468285732198,-0.510189254194154,-0.998265714816216,17.244636871853825,-17.827854146116632,1.6339501731460517
