price_min,price_max,entry_gain,expiry_min,kill_drop,trades,avg_pct,median_pct,win_rate,profit_factor,target_rate,stop_rate,close_rate,worst_pct,median_minutes
0.5,1.5,2,15,5,14,3.1640181586618854,9.000000000000004,64.28571428571429,2.201935628300607,64.28571428571429,21.428571428571427,14.285714285714285,-11.769230063850333,11.5
0.5,1.5,2,15,10,14,3.1640181586618854,9.000000000000004,64.28571428571429,2.201935628300607,64.28571428571429,21.428571428571427,14.285714285714285,-11.769230063850333,11.5
0.5,1.5,2,15,15,14,2.5607900327782653,9.000000000000004,64.28571428571429,1.7914265002042637,64.28571428571429,28.57142857142857,7.142857142857142,-11.769230063850333,7.5
0.5,1.5,2,15,20,14,2.5607900327782653,9.000000000000004,64.28571428571429,1.7914265002042637,64.28571428571429,28.57142857142857,7.142857142857142,-11.769230063850333,7.5
0.5,1.5,2,20,5,15,3.2071497369877213,9.000000000000004,66.66666666666666,2.3053431724470057,60.0,20.0,20.0,-11.769230063850333,14.0
0.5,1.5,2,20,10,15,3.2071497369877213,9.000000000000004,66.66666666666666,2.3053431724470057,60.0,20.0,20.0,-11.769230063850333,14.0
0.5,1.5,2,20,15,15,2.6441368194963433,9.000000000000004,66.66666666666666,1.8755556693425413,60.0,26.666666666666668,13.333333333333334,-11.769230063850333,9.0
0.5,1.5,2,20,20,15,2.6441368194963433,9.000000000000004,66.66666666666666,1.8755556693425413,60.0,26.666666666666668,13.333333333333334,-11.769230063850333,9.0
0.5,1.5,2,30,5,16,3.622058692086584,9.000000000000004,75.0,2.5954432649607453,62.5,18.75,18.75,-11.769230063850333,30.0
0.5,1.5,2,30,10,16,3.6220586920865854,9.000000000000004,75.0,2.5954432649607457,62.5,18.75,18.75,-11.769230063850333,30.0
0.5,1.5,2,30,15,16,3.094234081938418,9.000000000000004,75.0,2.1058431257452095,62.5,25.0,12.5,-11.769230063850333,11.5
0.5,1.5,2,30,20,16,3.094234081938418,9.000000000000004,75.0,2.1058431257452095,62.5,25.0,12.5,-11.769230063850333,11.5
0.5,1.5,2,45,5,16,3.6220586920865854,9.000000000000004,75.0,2.5954432649607457,62.5,18.75,18.75,-11.769230063850333,30.0
0.5,1.5,2,45,10,16,3.6220586920865863,9.000000000000004,75.0,2.595443264960746,62.5,18.75,18.75,-11.769230063850333,30.0
0.5,1.5,2,45,15,17,3.4416320771185123,9.000000000000005,76.47058823529412,2.3068740567476893,64.70588235294117,23.52941176470588,11.76470588235294,-11.769230063850333,9.0
0.5,1.5,2,45,20,17,3.4416320771185123,9.000000000000005,76.47058823529412,2.3068740567476893,64.70588235294117,23.52941176470588,11.76470588235294,-11.769230063850333,9.0
0.5,1.5,2,60,5,16,3.6684324723336994,9.000000000000004,75.0,2.615869972989435,62.5,18.75,18.75,-11.769230063850333,30.0
0.5,1.5,2,60,10,16,3.6684324723337007,9.000000000000004,75.0,2.6158699729894352,62.5,18.75,18.75,-11.769230063850333,30.0
0.5,1.5,2,60,15,17,3.4852779879393254,9.000000000000005,76.47058823529412,2.323447504244901,64.70588235294117,23.52941176470588,11.76470588235294,-11.769230063850333,9.0
0.5,1.5,2,60,20,17,3.4852779879393254,9.000000000000005,76.47058823529412,2.323447504244901,64.70588235294117,23.52941176470588,11.76470588235294,-11.769230063850333,9.0
0.5,1.5,3,15,5,13,3.436612592193879,9.000000000000005,69.23076923076923,2.2299283958347043,69.23076923076923,23.076923076923077,7.6923076923076925,-11.769230063850333,9.0
0.5,1.5,3,15,10,13,3.4366125921938777,9.000000000000005,69.23076923076923,2.2299283958347034,69.23076923076923,23.076923076923077,7.6923076923076925,-11.769230063850333,9.0
0.5,1.5,3,15,15,13,2.786982302780749,9.000000000000005,69.23076923076923,1.8092783790223115,69.23076923076923,30.76923076923077,0.0,-11.769230063850333,7.0
0.5,1.5,3,15,20,13,2.786982302780749,9.000000000000005,69.23076923076923,1.8092783790223115,69.23076923076923,30.76923076923077,0.0,-11.769230063850333,7.0
0.5,1.5,3,20,5,14,3.463353966576419,9.000000000000004,71.42857142857143,2.334844925537495,64.28571428571429,21.428571428571427,14.285714285714285,-11.769230063850333,11.5
0.5,1.5,3,20,10,14,3.4633539665764177,9.000000000000004,71.42857142857143,2.334844925537494,64.28571428571429,21.428571428571427,14.285714285714285,-11.769230063850333,11.5
0.5,1.5,3,20,15,14,2.8601258406927976,9.000000000000004,71.42857142857143,1.8944036275046767,64.28571428571429,28.57142857142857,7.142857142857142,-11.769230063850333,8.0
0.5,1.5,3,20,20,14,2.8601258406927976,9.000000000000004,71.42857142857143,1.8944036275046767,64.28571428571429,28.57142857142857,7.142857142857142,-11.769230063850333,8.0
0.5,1.5,3,30,5,15,3.5600306915584503,9.000000000000002,73.33333333333333,2.470113616509119,60.0,20.0,20.0,-11.769230063850333,22.0
0.5,1.5,3,30,10,15,3.5600306915584494,9.000000000000002,73.33333333333333,2.470113616509118,60.0,20.0,20.0,-11.769230063850333,22.0
0.5,1.5,3,30,15,15,2.99701777406707,9.000000000000002,73.33333333333333,2.0041554555861336,60.0,26.666666666666668,13.333333333333334,-11.769230063850333,9.0
0.5,1.5,3,30,20,15,2.99701777406707,9.000000000000002,73.33333333333333,2.0041554555861336,60.0,26.666666666666668,13.333333333333334,-11.769230063850333,9.0
0.5,1.5,3,45,5,15,3.5600306915584503,9.000000000000002,73.33333333333333,2.470113616509119,60.0,20.0,20.0,-11.769230063850333,14.0
0.5,1.5,3,45,10,15,3.5600306915584494,9.000000000000002,73.33333333333333,2.470113616509118,60.0,20.0,20.0,-11.769230063850333,14.0
0.5,1.5,3,45,15,16,3.3722041631878783,9.000000000000004,75.0,2.2051863865886125,62.5,25.0,12.5,-11.769230063850333,9.0
0.5,1.5,3,45,20,16,3.3722041631878783,9.000000000000004,75.0,2.2051863865886125,62.5,25.0,12.5,-11.769230063850333,9.0
0.5,1.5,3,60,5,16,3.3258417322191143,9.0,68.75,2.457462833346903,56.25,18.75,25.0,-11.769230063850333,27.0
