min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,sessions_scanned,entries_triggered,num_trades,win_rate_pct,avg_profit_pct,median_profit_pct,total_return_pct,tp_hit_pct,sl_hit_pct,eod_exit_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_r,median_minutes_held,ambiguous_excluded
8.0,3.0,20.0,10.0,25,10,10,50.0,4.810497546901532,0.7350665221686409,48.104975469015315,40.0,30.0,30.0,16.66498207487681,-7.0439869810737505,2.365845098756341,0.682922549378171,27.5,0
8.0,2.0,20.0,10.0,25,14,14,42.857142857142854,3.5541327871736335,-2.609967452684383,49.75785902043087,35.714285714285715,28.57142857142857,35.714285714285715,17.22081839573067,-6.695881419244145,1.9288892661208394,0.5307938663547653,57.5,0
8.0,3.0,10.0,10.0,25,10,10,60.0,2.8104975469015323,6.662455187192029,28.104975469015322,50.0,20.0,30.0,8.887485062397348,-6.30498372634219,2.1143952422744916,0.44575809690979656,7.5,0
8.0,3.0,15.0,10.0,25,10,10,50.0,2.8104975469015283,0.7350665221686409,28.104975469015283,40.0,30.0,30.0,12.664982074876805,-7.0439869810737505,1.7979848782949082,0.39899243914745425,20.0,0
8.0,3.0,20.0,8.0,25,10,10,40.0,2.610497546901531,-2.609967452684383,26.104975469015308,30.0,40.0,30.0,15.831227593596013,-6.203322484228124,1.701370798616035,0.4208224791696209,27.5,0
10.0,2.0,20.0,10.0,25,11,11,45.45454545454545,2.527912701478037,-3.639235924045914,27.80703971625841,36.36363636363637,45.45454545454545,18.181818181818183,16.289255128060866,-8.939872654007651,1.5184085723300322,0.2827683121800175,50.0,0
10.0,3.0,20.0,10.0,25,9,9,44.44444444444444,1.9785599684731596,-3.639235924045914,17.807039716258437,33.33333333333333,44.44444444444444,22.22222222222222,15.361568910076084,-8.72784718480918,1.4080511342419375,0.22669507457885418,40.0,0
8.0,2.0,15.0,10.0,25,14,14,42.857142857142854,1.768418501459347,-2.609967452684383,24.757859020430857,35.714285714285715,28.57142857142857,35.714285714285715,13.054151729064001,-6.695881419244145,1.4621844659105685,0.2641054090917537,40.0,0
8.0,5.0,20.0,10.0,25,9,9,33.33333333333333,1.5322330224896739,-3.3651575753219913,13.790097202407065,33.33333333333333,44.44444444444444,22.22222222222222,20.0,-7.70165046626549,1.2984229865795214,0.1989486577196809,10.0,0
8.0,3.0,10.0,8.0,25,10,10,50.0,1.4104975469015326,0.7350665221686409,14.104975469015326,40.0,30.0,30.0,8.664982074876816,-5.843986981073751,1.4827175527493641,0.24135877637468203,7.5,0
