ticker,bar,observed_at,age_s,volume,close
ABTS,2026-08-03 13:21:00-04:00,2026-08-03 23:39:47.956730-04:00,37067.95673,200.0,1.087499976158142
ABTS,2026-08-03 13:25:00-04:00,2026-08-03 23:39:47.956730-04:00,36827.95673,340.0,1.0651999711990356
ABTS,2026-08-03 13:30:00-04:00,2026-08-03 23:39:47.956730-04:00,36527.95673,322.0,1.0700000524520874
ABTS,2026-08-03 15:42:00-04:00,2026-08-03 23:39:47.956730-04:00,28607.95673,322.0,1.0750000476837158
ABTS,2026-08-03 15:55:00-04:00,2026-08-03 23:39:47.956730-04:00,27827.95673,1860.0,1.0399999618530273
ABTS,2026-08-03 15:59:00-04:00,2026-08-03 23:39:47.956730-04:00,27587.95673,2258.0,1.0306999683380127
FABC,2026-08-03 15:54:00-04:00,2026-08-03 23:39:47.956730-04:00,27887.95673,449.0,2.7200000286102295
FABC,2026-08-03 15:55:00-04:00,2026-08-03 23:39:47.956730-04:00,27827.95673,60.0,2.7200000286102295
FABC,2026-08-03 15:56:00-04:00,2026-08-03 23:39:47.956730-04:00,27767.95673,1347.0,2.7300000190734863
FABC,2026-08-03 15:57:00-04:00,2026-08-03 23:39:47.956730-04:00,27707.95673,1089.0,2.7249999046325684
FABC,2026-08-03 15:58:00-04:00,2026-08-03 23:39:47.956730-04:00,27647.95673,3266.0,2.7300000190734863
FABC,2026-08-03 15:59:00-04:00,2026-08-03 23:39:47.956730-04:00,27587.95673,505.0,2.7300000190734863
RUBI,2026-08-03 15:53:00-04:00,2026-08-03 23:39:47.956730-04:00,27947.95673,4818.0,2.3399999141693115
RUBI,2026-08-03 15:54:00-04:00,2026-08-03 23:39:47.956730-04:00,27887.95673,6901.0,2.380000114440918
RUBI,2026-08-03 15:55:00-04:00,2026-08-03 23:39:47.956730-04:00,27827.95673,2203.0,2.4000000953674316
RUBI,2026-08-03 15:56:00-04:00,2026-08-03 23:39:47.956730-04:00,27767.95673,1030.0,2.3399999141693115
RUBI,2026-08-03 15:58:00-04:00,2026-08-03 23:39:47.956730-04:00,27647.95673,1937.0,2.355600118637085
RUBI,2026-08-03 15:59:00-04:00,2026-08-03 23:39:47.956730-04:00,27587.95673,4246.0,2.3499999046325684
TGHL,2026-08-03 15:54:00-04:00,2026-08-03 23:39:47.956730-04:00,27887.95673,342.0,1.1891000270843506
TGHL,2026-08-03 15:55:00-04:00,2026-08-03 23:39:47.956730-04:00,27827.95673,7711.0,1.184999942779541
TGHL,2026-08-03 15:56:00-04:00,2026-08-03 23:39:47.956730-04:00,27767.95673,1640.0,1.184999942779541
TGHL,2026-08-03 15:57:00-04:00,2026-08-03 23:39:47.956730-04:00,27707.95673,7642.0,1.184999942779541
TGHL,2026-08-03 15:58:00-04:00,2026-08-03 23:39:47.956730-04:00,27647.95673,8466.0,1.2098000049591064
TGHL,2026-08-03 15:59:00-04:00,2026-08-03 23:39:47.956730-04:00,27587.95673,12849.0,1.2050000429153442
EDBL,2026-08-03 15:54:00-04:00,2026-08-03 23:39:47.956730-04:00,27887.95673,8563.0,2.2701001167297363
EDBL,2026-08-03 15:55:00-04:00,2026-08-03 23:39:47.956730-04:00,27827.95673,7886.0,2.2701001167297363
EDBL,2026-08-03 15:56:00-04:00,2026-08-03 23:39:47.956730-04:00,27767.95673,3328.0,2.2701001167297363
EDBL,2026-08-03 15:57:00-04:00,2026-08-03 23:39:47.956730-04:00,27707.95673,13501.0,2.259999990463257
EDBL,2026-08-03 15:58:00-04:00,2026-08-03 23:39:47.956730-04:00,27647.95673,7305.0,2.255000114440918
EDBL,2026-08-03 15:59:00-04:00,2026-08-03 23:39:47.956730-04:00,27587.95673,18716.0,2.259999990463257
RPGL,2026-08-03 15:44:00-04:00,2026-08-03 23:39:47.956730-04:00,28487.95673,280.0,1.9199999570846558
RPGL,2026-08-03 15:46:00-04:00,2026-08-03 23:39:47.956730-04:00,28367.95673,285.0,1.909999966621399
RPGL,2026-08-03 15:50:00-04:00,2026-08-03 23:39:47.956730-04:00,28127.95673,1226.0,1.9450000524520874
RPGL,2026-08-03 15:54:00-04:00,2026-08-03 23:39:47.956730-04:00,27887.95673,0.0,1.940000057220459
RPGL,2026-08-03 15:56:00-04:00,2026-08-03 23:39:47.956730-04:00,27767.95673,819.0,1.8849999904632568
RPGL,2026-08-03 15:57:00-04:00,2026-08-03 23:39:47.956730-04:00,27707.95673,1210.0,1.8600000143051147
