min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,rr_ratio,num_trades,win_rate_pct,avg_profit_pct,median_profit_pct,total_return_pct,profit_factor,expectancy_r,median_minutes_held
2.0,1.5,20.0,10.0,2.0,911,44.12733260153677,0.13113596344650283,-0.2906973923522806,119.46486269976408,1.0489819127149138,0.027367501176609348,55.0
2.0,2.0,15.0,5.0,3.0,581,37.005163511187604,-0.047595515475354594,-1.7355006067919434,-27.65299449118102,0.9804997705700789,-0.012284137644322088,15.0
2.0,3.0,15.0,5.0,3.0,356,33.98876404494382,0.3537452188264371,-4.999999999999998,125.93329790221162,1.1225381574132849,0.08088895222506172,5.0
2.0,5.0,15.0,5.0,3.0,244,30.327868852459016,-0.0019330285266229534,-5.0,-0.47165896049600065,0.9994180250001684,-0.00040547438512857325,0.0
5.0,1.5,20.0,10.0,2.0,685,39.70802919708029,-0.43410546313162746,-0.8345644896195165,-297.3622422451648,0.8691603533638316,-0.07888580154852194,55.0
5.0,2.0,20.0,10.0,2.0,473,38.05496828752643,-0.7214571953912655,-1.6049652750904118,-341.2492534200686,0.8238360692987704,-0.1091248027388166,45.0
5.0,3.0,20.0,8.0,2.5,315,31.746031746031743,-0.4657452651377468,-5.096461839023051,-146.70975851839023,0.8925639997904191,-0.0733293334763804,20.0
5.0,5.0,20.0,8.0,2.5,220,29.545454545454547,-0.7768016730843038,-7.99999999999999,-170.89636807854683,0.8431250433149161,-0.11052553766449084,10.0
8.0,1.5,20.0,10.0,2.0,519,38.15028901734104,-0.7574175564918716,-1.5151503596691505,-393.09971181928137,0.801619896182402,-0.12269752085828312,50.0
8.0,2.0,20.0,10.0,2.0,395,36.9620253164557,-0.9384491104893077,-2.4822662556360395,-370.68739864327654,0.7847201352584607,-0.13570806663453988,40.0
8.0,3.0,20.0,3.0,6.666666666666667,275,16.0,-0.7909663325963066,-3.0000000000000013,-217.5157414639843,0.6705914460589902,-0.2767031853104481,0.0
8.0,5.0,20.0,10.0,2.0,196,32.142857142857146,-1.3059166850162853,-9.999999999999993,-255.95967026319192,0.7782001411935328,-0.1505070470472454,15.0
10.0,1.5,10.0,3.0,3.3333333333333335,428,20.5607476635514,-1.2178727376334593,-2.9999999999999996,-521.2495317071206,0.45276716093845115,-0.4347176758900155,0.0
10.0,2.0,15.0,3.0,5.0,348,16.954022988505745,-1.4390334384749914,-3.0,-500.78363658929703,0.3841323044478805,-0.5114533448694325,0.0
10.0,3.0,15.0,3.0,5.0,259,13.8996138996139,-1.1722495739067733,-3.0000000000000004,-303.6126396418543,0.519206186224203,-0.41396533000773267,0.0
10.0,5.0,20.0,3.0,6.666666666666667,179,10.614525139664805,-1.5764010212203572,-3.000000000000001,-282.17578279844395,0.40798522479431965,-0.5291752180609434,0.0
15.0,1.5,15.0,3.0,5.0,293,15.358361774744028,-1.4023975182240869,-3.0,-410.90247283965743,0.41885520176875685,-0.4918904776837826,0.0
15.0,2.0,15.0,3.0,5.0,245,15.918367346938775,-1.4166001689759542,-3.0000000000000004,-347.0670413991088,0.4224600876741038,-0.48560498750667186,0.0
15.0,3.0,15.0,3.0,5.0,202,12.376237623762377,-1.2583186347678488,-3.000000000000001,-254.18036422310544,0.5023150695170656,-0.43609026086870994,0.0
15.0,5.0,20.0,3.0,6.666666666666667,150,10.666666666666668,-1.421185044135637,-3.000000000000001,-213.17775662034558,0.467599489993329,-0.4756111222726261,0.0
