ticker,date,prior_close,open_price,gap_pct,high,low,close_price,volume,avg_volume,volume_ratio,daily_gain_high_from_open,daily_drawdown_low_from_open,close_vs_open_pct,gap_bucket,price_bucket
VSME,2026-06-15,1.690000057220459,2.759999990463257,63.31360337363689,3.7699999809265137,2.640000104904175,3.25,64723600.0,32921890.0,1.9659746144586474,36.59420267946203,4.347821955569661,17.753623595284807,50%+,$1-3
GELS,2026-06-15,0.9900000095367432,1.5,51.51515005559488,1.9600000381469727,1.0800000429153442,1.159999966621399,60616100.0,15981260.0,3.792948741213146,30.666669209798176,27.99999713897705,-22.66666889190674,50%+,$1-3
AHMA,2026-06-15,1.350000023841858,1.850000023841858,37.037036382939434,2.4600000381469727,1.7999999523162842,1.9299999475479126,49683700.0,7651380.0,6.493429943356623,32.972973321283526,2.7027065341188257,4.324320144597644,20-50%,$1-3
BYAH,2026-06-15,1.4700000286102295,1.9600000381469727,33.33333333333333,1.9900000095367432,1.3700000047683716,1.4800000190734863,12491200.0,15614910.0,0.7999533778933083,1.530610755402492,30.10204193344813,-24.489796414865836,20-50%,$1-3
NIXX,2026-06-15,0.8700000047683716,1.1299999952316284,29.88505621129038,1.1299999952316284,0.781000018119812,0.8748999834060669,95162400.0,1414460.0,67.27825459892821,0.0,30.88495385703768,-22.575222380710798,20-50%,$1-3
DXST,2026-06-15,2.2799999713897705,2.890000104904175,26.75439215653058,3.9000000953674316,2.5,2.700000047683716,7367100.0,9508200.0,0.7748154224774405,34.94809528724034,13.494812828635045,-6.574396204970342,20-50%,$1-3
QTEX,2026-06-15,1.2899999618530273,1.5299999713897705,18.60465245223681,2.619999885559082,1.4500000476837158,2.200000047683716,122263000.0,21341260.0,5.7289494622154455,71.24182578769683,5.22875328117732,43.790855478601934,10-20%,$1-3
GLXG,2026-06-15,1.4600000381469727,1.6799999475479126,15.068486551559488,3.2100000381469727,1.559999942779541,1.8799999952316284,54768400.0,13402120.0,4.08654750144007,91.07143680761486,7.142857649699376,11.904765114762714,10-20%,$1-3
CPOP,2026-06-15,1.9500000476837158,2.2100000381469727,13.3333325182271,2.2100000381469727,1.5399999618530273,1.600000023841858,4588910.0,6276023.0,0.7311811954800038,0.0,30.316745010363118,-27.601810125604516,10-20%,$1-3
CRMT,2026-06-15,2.0899999141693115,2.3499999046325684,12.44019144214157,2.880000114440918,2.0999999046325684,2.4100000858306885,2616100.0,1607150.0,1.6277883209407957,22.55320133262802,10.638298304062632,2.5531993035336478,10-20%,$1-3
BTCS,2026-06-15,1.1299999952316284,1.2699999809265137,12.38937931731477,1.3350000381469727,1.1799999475479126,1.2000000476837158,2138000.0,790540.0,2.7044804816960557,5.118114818634797,7.086616907894959,-5.5118058499284555,10-20%,$1-3
WLDS,2026-06-15,2.3399999141693115,2.5799999237060547,10.256411040166299,4.349999904632568,2.4600000381469727,2.9609999656677246,7938000.0,49813.3,159.3550316883242,68.60465245223682,4.651158492543967,14.767443923578897,10-20%,$1-3
MTEN,2026-06-15,2.4700000286102295,2.7200000286102295,10.121457372640801,5.650000095367432,2.700000047683716,3.390000104904175,36041200.0,13523260.0,2.6651266040880675,107.72058955654758,0.7352934086817846,24.63235548700632,10-20%,$1-3
OGG,2026-06-15,2.5999999046325684,2.859999895095825,10.0,2.859999895095825,2.7100000381469727,2.7200000286102295,2188600.0,2553240.0,0.8571853801444439,0.0,5.244750435343171,-4.895100406320293,10-20%,$1-3
UPXI,2026-06-15,0.9100000262260437,1.0,9.890106723095888,1.1200000047683716,1.0,1.0800000429153442,3510900.0,2311730.0,1.518732723977281,12.000000476837158,0.0,8.000004291534424,5-10%,$1-3
SLNH,2026-06-15,1.4800000190734863,1.6100000143051147,8.783783348395588,1.7100000381469727,1.5499999523162842,1.5499999523162842,22404100.0,17951290.0,1.248049583066175,6.211181549896973,3.726711891659637,-3.726711891659637,5-10%,$1-3
HDRN,2026-06-15,2.734999895095825,2.9700000286102295,8.592326966293017,2.9700000286102295,2.700000047683716,2.7100000381469727,115800.0,149590.0,0.7741159168393609,0.0,9.090908361130772,-8.754208348776354,5-10%,$1-3
CIIT,2026-06-15,1.7599999904632568,1.909999966621399,8.522725964257532,1.975000023841858,1.3200000524520874,1.4800000190734863,12172600.0,11246100.0,1.0823841153822213,3.4031444165644493,30.89004840209307,-22.51308665248513,5-10%,$1-3
NEOV,2026-06-15,1.7799999713897705,1.9299999475479126,8.426965088152592,2.0,1.7799999713897705,1.7799999713897705,685400.0,1089030.0,0.6293674187120649,3.626945821476487,7.772019701281277,-7.772019701281277,5-10%,$1-3
OTLK,2026-06-15,1.2200000286102295,1.3200000524520874,8.196723073504641,1.399999976158142,1.1299999952316284,1.159999966621399,23475000.0,21825270.0,1.0755880683263024,6.06060003993511,14.393943156858738,-12.121218141883071,5-10%,$1-3
ENGN,2026-06-15,1.6200000047683716,1.75,8.024691040060576,1.8200000524520874,1.7300000190734863,1.7699999809265137,2158000.0,737980.0,2.924198487763896,4.000002997262137,1.1428560529436385,1.1428560529436385,5-10%,$1-3
CHAI,2026-06-15,1.3200000524520874,1.4199999570846558,7.575750049918888,1.7300000190734863,1.2000000476837158,1.2200000286102295,4926700.0,24966070.0,0.19733582418057788,21.83099094068137,15.492951834492505,-14.084502430904152,5-10%,$1-3
CHR,2026-06-15,1.9199999570846558,2.059999942779541,7.2916660845900445,2.180000066757202,1.9299999475479126,2.0,68900.0,385340.0,0.17880313489385996,5.82524889858715,6.31067955546739,-2.9126186624346984,5-10%,$1-3
PMAX,2026-06-15,2.0999999046325684,2.25,7.142862008542651,2.359999895095825,2.059999942779541,2.1600000858306885,187700.0,906360.0,0.20709210468246614,4.888884226481119,8.444446987575954,-3.9999961853027344,5-10%,$1-3
CANG,2026-06-15,2.799999952316284,3.0,7.142858967489158,3.299999952316284,3.0,3.0999999046325684,72500.0,90815.0,0.7983262676870561,9.999998410542805,0.0,3.3333301544189453,5-10%,$3-7
