gap_bucket,price_bucket,events,avg_gap_pct,avg_max_gain,median_max_gain,avg_max_dd,median_max_dd,avg_dd_before_peak,median_dd_before_peak,median_risk_reward,avg_close_vs_open,pct_green_close,tp_before_sl_%,sl_first_%,avg_trade_return
5-10%,$1-3,46.0,7.337613542278667,16.499219693444168,7.262609214840813,7.663247547525945,5.958429444953594,4.40406152287146,3.656463108684738,2.002506081455741,2.5028680745099767,54.347826086956516,26.08695652173913,52.17391304347826,-0.08661856969082322
5-10%,$3-7,27.0,7.216811461591147,20.858475296264242,11.157974915737435,7.715767406381481,6.060600430887407,3.2443567687026422,2.519372896279413,2.520406673770564,1.722569580113876,51.85185185185185,48.148148148148145,44.44444444444444,2.531569909853749
5-10%,$7-10,12.0,7.085222844211675,8.761661486990532,9.487636322242974,8.569464989628765,5.167506814308666,3.564824454222954,1.568808186511499,2.3250045696937907,-3.434708256210073,33.33333333333333,33.33333333333333,50.0,0.4083137682296822
10-20%,$1-3,42.0,13.650195007841436,21.55614081935838,14.164368662566726,12.799023787052274,11.48815650074646,6.802434698300942,5.903426732082603,2.8545454762250073,-2.6380859745238854,30.952380952380953,33.33333333333333,64.28571428571429,0.22806558444677544
10-20%,$3-7,17.0,14.939606185528028,16.331058350550123,8.292413301393843,7.188505713809317,8.1293549078706,5.2190574295838,5.958543702219387,2.5580522643945267,1.4478290037669779,41.17647058823529,17.647058823529413,70.58823529411765,-1.5285679477836445
10-20%,$7-10,7.0,14.59911182726008,27.319034216905287,9.825101825825126,12.1935323713179,7.031249660455304,5.313938051646915,2.8834091840674025,4.775004172329114,2.669571877147617,42.857142857142854,42.857142857142854,42.857142857142854,3.0320392792706095
20-50%,$1-3,32.0,34.209186095779906,26.24527029728971,16.021564546103342,15.58558875907166,12.867487955717008,7.183239054213311,6.398167687687044,1.717341888628079,-3.450005790278018,31.25,28.125,68.75,-0.7226561564519737
20-50%,$3-7,25.0,34.06844934703836,55.3819847308945,18.24212050346727,14.617819302687533,13.995483286318766,8.474505772764402,7.999999434859665,2.162350485609436,17.19545077929226,48.0,40.0,60.0,1.0000000000000016
20-50%,$7-10,6.0,28.883805614500442,19.23416129041016,10.060580662021113,15.319182936828454,14.22828621458541,5.414231657227,3.18952145623771,3.8276940019415235,3.4190808092991456,66.66666666666666,33.33333333333333,66.66666666666666,-1.4802973661668753e-16
50%+,$1-3,31.0,102.14584279572925,46.25492391378594,27.796677038698896,32.90591176767196,32.35269763687625,10.374118689043659,10.611722683387988,2.770176250934532,-16.63633832172836,22.58064516129032,32.25806451612903,67.74193548387096,-0.16129032258064316
50%+,$3-7,18.0,174.75485221104225,26.091297556945392,13.793787491640368,35.11964627148897,31.252168683436786,9.426118308026552,9.07926360961227,2.2268582521128932,-24.452638743743027,16.666666666666664,27.77777777777778,72.22222222222221,-0.8333333333333333
50%+,$7-10,1.0,115.99999941312348,16.096860978261997,16.096860978261997,26.63817508034061,26.63817508034061,25.21224857453199,25.21224857453199,0.638454001065266,5.55555366873552,100.0,0.0,100.0,-5.00000000000001
