at,elapsed_s,ok,tickers_returned
2026-08-05 09:31:37.739685-04:00,0.8385331630706787,True,27
2026-08-05 09:31:57.756425-04:00,0.8819661140441895,True,28
2026-08-05 09:32:17.772801-04:00,0.7952778339385986,True,28
2026-08-05 09:32:37.789643-04:00,0.8169820308685303,True,29
2026-08-05 09:32:57.808087-04:00,1.6614251136779785,True,29
2026-08-05 09:33:17.828774-04:00,0.8263342380523682,True,29
2026-08-05 09:33:37.847534-04:00,0.8237411975860596,True,29
2026-08-05 09:33:57.866552-04:00,0.7802839279174805,True,29
2026-08-05 09:34:17.887119-04:00,0.7874281406402588,True,29
2026-08-05 09:34:37.907003-04:00,0.7221181392669678,True,29
2026-08-05 09:34:57.930105-04:00,0.760504961013794,True,29
2026-08-05 09:35:17.951831-04:00,1.0132999420166016,True,29
2026-08-05 09:35:37.973980-04:00,1.00297212600708,True,29
2026-08-05 09:35:57.996785-04:00,1.3223888874053955,True,29
2026-08-05 09:36:18.020370-04:00,1.427217960357666,True,29
2026-08-05 09:36:38.043159-04:00,0.8776431083679199,True,29
2026-08-05 09:36:58.106641-04:00,0.8605709075927734,True,29
2026-08-05 09:37:18.128229-04:00,1.0507807731628418,True,29
2026-08-05 09:37:38.152311-04:00,0.7454490661621094,True,29
2026-08-05 09:37:58.173505-04:00,1.006667137145996,True,29
2026-08-05 09:38:18.194870-04:00,1.5768299102783203,True,29
2026-08-05 09:38:38.218664-04:00,0.8247878551483154,True,29
2026-08-05 09:38:58.242620-04:00,0.7899999618530273,True,29
2026-08-05 09:39:18.267272-04:00,1.2024791240692139,True,29
2026-08-05 09:39:38.292370-04:00,0.752617359161377,True,29
2026-08-05 09:39:58.314980-04:00,1.0878839492797852,True,29
2026-08-05 09:40:18.340068-04:00,0.8360469341278076,True,29
2026-08-05 09:40:38.364753-04:00,0.8216779232025146,True,30
2026-08-05 09:40:58.385191-04:00,1.0219120979309082,True,30
2026-08-05 09:41:18.412658-04:00,0.7500221729278564,True,30
2026-08-05 09:41:38.435762-04:00,0.911020040512085,True,30
2026-08-05 09:41:58.517120-04:00,0.8186080455780029,True,30
2026-08-05 09:42:18.541375-04:00,0.8144078254699707,True,30
2026-08-05 09:42:38.565267-04:00,0.7245669364929199,True,30
2026-08-05 09:42:58.588535-04:00,0.7829768657684326,True,30
2026-08-05 09:43:18.613843-04:00,0.7935187816619873,True,30
2026-08-05 09:43:38.638735-04:00,0.779019832611084,True,30
2026-08-05 09:43:58.663514-04:00,0.9682362079620361,True,30
2026-08-05 09:44:18.689956-04:00,0.9996531009674072,True,30
2026-08-05 09:44:38.715853-04:00,0.934973955154419,True,30
2026-08-05 09:44:58.741606-04:00,1.1201908588409424,True,30
2026-08-05 09:45:18.769055-04:00,0.7680060863494873,True,30
2026-08-05 09:45:38.794733-04:00,1.504324197769165,True,30
2026-08-05 09:45:58.820602-04:00,0.809581995010376,True,30
2026-08-05 09:46:18.845706-04:00,0.7646956443786621,True,30
2026-08-05 09:46:38.870555-04:00,0.8471839427947998,True,30
2026-08-05 09:46:58.986849-04:00,0.9209399223327637,True,30
2026-08-05 09:47:19.014838-04:00,1.2455620765686035,True,30
2026-08-05 09:47:39.039023-04:00,0.7011091709136963,True,30
2026-08-05 09:47:59.063029-04:00,0.7381072044372559,True,30
2026-08-05 09:48:19.085819-04:00,0.8799490928649902,True,30
2026-08-05 09:48:39.109883-04:00,1.2546310424804688,True,30
2026-08-05 09:48:59.134309-04:00,0.8469889163970947,True,30
2026-08-05 09:49:19.159859-04:00,1.9290289878845215,True,30
2026-08-05 09:49:39.220117-04:00,0.7669761180877686,True,30
2026-08-05 09:49:59.241300-04:00,1.351531744003296,True,31
2026-08-05 09:50:19.237524-04:00,0.931988000869751,True,31
2026-08-05 09:50:39.256233-04:00,0.7774500846862793,True,31
2026-08-05 09:50:59.280053-04:00,0.7574777603149414,True,31
2026-08-05 09:51:19.303247-04:00,1.7378768920898438,True,31
2026-08-05 09:51:39.324720-04:00,0.9377689361572266,True,31
2026-08-05 09:51:59.480542-04:00,0.7858021259307861,True,31
2026-08-05 09:52:19.503914-04:00,0.8966727256774902,True,31
2026-08-05 09:52:39.528084-04:00,0.9305038452148438,True,31
2026-08-05 09:52:59.554146-04:00,0.8607709407806396,True,31
2026-08-05 09:53:19.568719-04:00,0.8751449584960938,True,31
2026-08-05 09:53:39.597953-04:00,0.8100709915161133,True,31
2026-08-05 09:53:59.623978-04:00,0.7331027984619141,True,31
2026-08-05 09:54:19.651407-04:00,0.919348955154419,True,31
2026-08-05 09:54:39.678286-04:00,0.881890058517456,True,31
2026-08-05 09:54:59.706717-04:00,0.7646510601043701,True,31
2026-08-05 09:55:19.731758-04:00,1.1113779544830322,True,31
2026-08-05 09:55:39.762132-04:00,0.8813679218292236,True,31
2026-08-05 09:55:59.788763-04:00,0.7271010875701904,True,31
2026-08-05 09:56:19.813888-04:00,1.332118034362793,True,31
2026-08-05 09:56:39.843548-04:00,0.9178330898284912,True,31
2026-08-05 09:57:00.037433-04:00,0.8473129272460938,True,31
2026-08-05 09:57:20.064024-04:00,2.2582008838653564,True,31
2026-08-05 09:57:40.094145-04:00,1.0339851379394531,True,31
2026-08-05 09:58:00.124154-04:00,0.705761194229126,True,31
2026-08-05 09:58:20.150648-04:00,0.7560269832611084,True,31
2026-08-05 09:58:40.177444-04:00,0.7518362998962402,True,31
2026-08-05 09:59:00.205656-04:00,0.7238731384277344,True,31
2026-08-05 09:59:20.233014-04:00,0.8960330486297607,True,31
2026-08-05 09:59:40.265174-04:00,0.9776039123535156,True,31
2026-08-05 10:00:00.311761-04:00,0.8853650093078613,True,31
2026-08-05 10:00:20.338199-04:00,1.9003899097442627,True,31
2026-08-05 10:00:40.368166-04:00,0.7332131862640381,True,31
2026-08-05 10:01:00.394041-04:00,1.0263171195983887,True,31
2026-08-05 10:01:20.423447-04:00,1.0124096870422363,True,31
2026-08-05 10:01:40.452341-04:00,0.9592220783233643,True,31
2026-08-05 10:02:00.674112-04:00,1.7133288383483887,True,31
2026-08-05 10:02:20.703797-04:00,0.8950951099395752,True,31
2026-08-05 10:02:40.731533-04:00,1.2942602634429932,True,31
2026-08-05 10:03:00.758082-04:00,0.9096240997314453,True,31
2026-08-05 10:03:20.786445-04:00,0.8943779468536377,True,31
2026-08-05 10:03:40.816890-04:00,0.9868309497833252,True,31
2026-08-05 10:04:00.847905-04:00,1.2442586421966553,True,31
2026-08-05 10:04:20.878817-04:00,0.7522480487823486,True,31
2026-08-05 10:04:40.906455-04:00,0.9987094402313232,True,31
2026-08-05 10:05:00.933146-04:00,0.7160317897796631,True,31
2026-08-05 10:05:20.959982-04:00,0.7784440517425537,True,31
2026-08-05 10:05:40.986778-04:00,0.9490900039672852,True,31
2026-08-05 10:06:01.017954-04:00,0.9554948806762695,True,31
2026-08-05 10:06:21.047885-04:00,0.7881350517272949,True,31
2026-08-05 10:06:41.075470-04:00,0.7174539566040039,True,31
