tp,ratchet,etp,esl,trades,avg_pct,median_pct,win_rate,profit_factor,is_avg,oos_avg,drop_best10,target_rate,stop_rate,close_rate,median_minutes
10,False,,,55,2.051334988795958,9.000000000000002,60.0,1.631229370558446,2.2717510236857312,1.853720612687887,1.1335087032849411,58.18181818181818,21.818181818181817,20.0,33.0
8,True,13.0,2.0,55,1.763415997136349,1.000000000000004,61.81818181818181,1.5505006956087848,1.0926972505007306,2.3647500458441457,0.42013768518166605,38.18181818181819,40.0,21.818181818181817,37.0
8,True,11.0,2.0,55,1.7188253223505026,1.0000000000000102,61.81818181818181,1.536580442232873,1.5275660671472862,1.8902991373602833,0.5151458097288131,45.45454545454545,34.54545454545455,20.0,33.0
8,True,13.0,0.0,55,1.636143269863621,-1.0,45.45454545454545,1.485944976799089,1.131158788962268,2.0888879768786284,0.2772805423245222,40.0,38.18181818181819,21.818181818181817,37.0
8,True,16.0,0.0,55,1.617961451681805,-1.0,38.18181818181819,1.470384341185645,0.9388510966545766,2.226819011361389,-0.049250069920373916,32.72727272727273,45.45454545454545,21.818181818181817,40.0
10,True,13.0,0.0,55,1.6169648408890929,-1.0,45.45454545454545,1.4762502007709304,1.1503892752711242,2.0352739686845136,0.24554980278106694,40.0,36.36363636363637,23.636363636363637,38.0
8,True,16.0,2.0,55,1.5815978153181696,1.0000000000000009,61.81818181818181,1.493740954442904,0.9388510966545776,2.157853494120011,-0.09006639645098523,29.09090909090909,49.09090909090909,21.818181818181817,40.0
6,True,14.0,0.0,55,1.5688993999985175,-1.0,40.0,1.5049722399788708,1.604296756555307,1.5371638389476032,0.09976191288409739,34.54545454545455,45.45454545454545,20.0,33.0
6,True,14.0,0.0,55,1.5688993999985175,-1.0,40.0,1.5049722399788708,1.604296756555307,1.5371638389476032,0.09976191288409739,34.54545454545455,45.45454545454545,20.0,33.0
12,False,,,55,1.5049681084156024,0.27794484990881596,50.90909090909091,1.396735950362242,1.0063822173505825,1.9519761486807925,0.32219896886466626,47.27272727272727,25.454545454545453,27.27272727272727,38.0
8,True,11.0,0.0,55,1.4642798678050475,-0.09214360672830346,49.09090909090909,1.4396487597360754,1.2198737594549773,1.683402585636145,0.22943152401452685,45.45454545454545,34.54545454545455,20.0,33.0
6,True,14.0,3.0,55,1.4251710766902528,1.9999999999999978,63.63636363636363,1.4985587175680504,2.0142045982510224,0.8970720573599084,-0.06156579695170954,27.27272727272727,54.54545454545454,18.181818181818183,26.0
6,True,11.0,0.0,55,1.3715092569403207,-1.0,45.45454545454545,1.4493279582585388,1.869782082625749,0.9247818959809716,0.13354554763531878,41.81818181818181,40.0,18.181818181818183,30.0
6,True,11.0,0.0,55,1.3715092569403207,-1.0,45.45454545454545,1.4493279582585388,1.869782082625749,0.9247818959809716,0.13354554763531878,41.81818181818181,40.0,18.181818181818183,30.0
12,True,24.0,11.0,55,1.3466063221942226,0.27794484990881596,50.90909090909091,1.3549890100740885,0.2977001241074386,2.287004982547892,-0.5089112710064854,5.454545454545454,67.27272727272727,27.27272727272727,40.0
10,True,13.0,4.0,55,1.3406747462610498,3.0000000000000018,60.0,1.412547575519438,1.2525199715330435,1.4197100615344351,-0.06457173200551194,30.909090909090907,49.09090909090909,20.0,37.0
10,True,15.0,4.0,55,1.317038599599349,3.0000000000000018,60.0,1.405274346104846,1.3486741006088028,1.288675736625357,-0.28906152792387924,25.454545454545453,54.54545454545454,20.0,37.0
15,False,,,55,1.3005463993052873,-1.1457712943990095,45.45454545454545,1.3086100030080634,0.7964705984961858,1.752476427616896,-0.2585704615478753,38.18181818181819,29.09090909090909,32.72727272727273,73.0
10,True,15.0,0.0,55,1.2842377851364835,-1.0,38.18181818181819,1.3703185102588875,0.6696203274238073,1.8352741265340553,-0.3258787686475038,32.72727272727273,43.63636363636363,23.636363636363637,39.0
15,True,27.0,12.0,55,1.2803002992717267,-1.1457712943990095,45.45454545454545,1.3038057538128047,0.20687610407536353,2.2426806122063976,-1.4404792559194912,9.090909090909092,58.18181818181818,32.72727272727273,77.0
6,True,9.0,0.0,55,1.2727037260596794,0.27794484990881596,50.90909090909091,1.4245442997330484,1.8373010115319341,0.7665130563259349,0.08588445246136227,49.09090909090909,34.54545454545455,16.363636363636363,19.0
6,True,9.0,0.0,55,1.2727037260596794,0.27794484990881596,50.90909090909091,1.4245442997330484,1.8373010115319341,0.7665130563259349,0.08588445246136227,49.09090909090909,34.54545454545455,16.363636363636363,19.0
12,True,17.0,11.0,55,1.2685502446243504,0.27794484990881596,50.90909090909091,1.3344120610058228,0.5284693548766687,1.9320710423291685,-0.5089112710064854,9.090909090909092,63.63636363636363,27.27272727272727,40.0
6,True,11.0,3.0,55,1.2596496540862088,2.0,63.63636363636363,1.4406553896565992,2.11633529451294,0.4915866661174149,0.03344232759543039,34.54545454545455,49.09090909090909,16.363636363636363,24.0
10,True,30.0,9.0,55,1.2304259478934263,4.837563851096586,60.0,1.3786222147282843,1.0898729189466043,1.356439008328508,-0.027072915629828567,1.8181818181818181,78.18181818181819,20.0,35.0
10,True,13.0,9.0,55,1.2195374618679276,4.837563851096586,60.0,1.3752716492586023,1.5514113804850653,0.9219953279353216,-0.02707291562982842,7.2727272727272725,72.72727272727273,20.0,35.0
12,True,20.0,11.0,55,1.1594593355334424,0.27794484990881596,50.90909090909091,1.3056537868257625,0.2977001241074386,1.9320710423291705,-0.5089112710064854,5.454545454545454,67.27272727272727,27.27272727272727,40.0
12,True,17.0,0.0,55,1.1435923777007702,-1.0,36.36363636363637,1.2903381468165627,-0.20893393618400216,2.3562021763560828,-0.7920504187251156,29.09090909090909,40.0,30.909090909090907,54.0
12,True,15.0,11.0,55,1.1373984786805094,0.27794484990881596,50.90909090909091,1.2998381586005452,0.4601367710738661,1.744598630327844,-0.5089112710064854,9.090909090909092,63.63636363636363,27.27272727272727,40.0
