date,ticker,side,entry_time,entry_price,exit_time,exit_price,outcome,return_pct,source
2026-08-03,ACON,long,09:45,2.4700000286102295,14:49,2.3399999141693115,EODT,-6.263162467008709,backtest
2026-08-03,EDBL,long,09:44,2.6995501041412355,09:45,3.050100088119507,TP,11.985496488489373,backtest
2026-08-03,GDC,long,10:33,2.049099922180176,11:10,1.8301000595092771,SL,-11.687612658629634,backtest
2026-08-03,RUBI,long,09:50,2.619749879837036,10:43,2.357774891853333,SL,-11.000000000000002,backtest
2026-08-03,RITR,short,16:00,0.342,17:46,0.2052,TP,39.0,backtest
2026-08-04,EVEX,long,10:44,2.7799999713897705,15:30,2.809999942779541,EODT,0.0791356726084064,backtest
2026-08-04,SBFM,long,11:44,1.4070000350475311,14:31,1.3550000190734863,EODT,-4.6958077241475085,backtest
2026-08-04,USDE,long,09:49,1.947750020027161,14:39,1.9879000186920168,EODT,1.0613527532807332,backtest
2026-08-04,VGAS,long,10:11,1.2547500550746915,10:48,1.380225060582161,TP,9.000000000000016,backtest
2026-08-04,AMIX,short,16:00,19.5,18:00,14.19,TIME,26.23,backtest
2026-08-05,KMRK,long,11:07,1.354394942522049,11:42,1.2100000381469729,SL,-11.661211131385013,backtest
2026-08-05,NAMM,long,10:06,1.4385000050067902,14:32,1.4950000047683716,EODT,2.927702437603723,backtest
2026-08-05,NEOV,long,09:57,2.918999969959259,14:30,2.8299999237060547,EODT,-4.048990995859672,backtest
2026-08-05,NXDR,long,09:37,2.63549998998642,14:30,2.444999933242798,EODT,-8.228232117906536,backtest
2026-08-05,ZJYL,long,10:09,2.273670029640198,14:30,2.178999900817871,EODT,-5.163758486859597,backtest
2026-08-05,ZYBT,short,16:00,2.36,18:00,1.9517,TIME,16.3,backtest
2026-08-06,AMTX,long,10:08,1.6957500100135805,14:31,1.6200000047683716,EODT,-5.467050260822482,backtest
2026-08-06,BRLT,long,10:20,1.2232499599456788,14:35,1.225000023841858,EODT,-0.8569332553865875,backtest
2026-08-06,HTZ,long,11:10,1.7902500450611116,14:13,1.9692750495672229,TP,9.000000000000005,backtest
2026-08-06,PEPG,long,10:03,2.320500040054321,14:30,2.234999895095825,EODT,-4.684556926639592,backtest
2026-08-06,REAX,long,10:45,1.8217500150203705,14:17,2.0039250165224076,TP,9.000000000000005,backtest
2026-08-06,XHLD,short,16:00,2.81,17:29,1.73,TIME,37.43,backtest
2026-08-13,USIO,long,09:35,2.7299998998641968,10:59,2.6600000858306885,MANUAL,-2.564095846193636,live
2026-08-13,MOBX,long,09:41,1.6222499549388887,11:05,1.6005942895659282,MANUAL,-1.3349154553544942,live
