ticker,bar,observed_at,age_s,volume,close
EVTL,2026-08-06 09:30:00-04:00,2026-08-06 09:31:26.312493-04:00,26.312493,63551.0,1.2799999713897705
EVTL,2026-08-06 09:31:00-04:00,2026-08-06 09:31:26.312493-04:00,-33.687507,0.0,1.2549999952316284
HTZ,2026-08-06 09:30:00-04:00,2026-08-06 09:31:26.312493-04:00,26.312493,0.0,1.6649999618530273
HTZ,2026-08-06 09:31:00-04:00,2026-08-06 09:31:26.312493-04:00,-33.687507,0.0,1.6549999713897705
DYAI,2026-08-06 09:30:41-04:00,2026-08-06 09:31:26.312493-04:00,-14.687507,0.0,0.9702000021934509
AMST,2026-08-06 09:30:16-04:00,2026-08-06 09:31:26.312493-04:00,10.312493,0.0,0.9900000095367432
LESL,2026-08-06 09:30:00-04:00,2026-08-06 09:31:26.312493-04:00,26.312493,0.0,1.5199999809265137
LESL,2026-08-06 09:31:00-04:00,2026-08-06 09:31:26.312493-04:00,-33.687507,0.0,1.4515999555587769
CHR,2026-08-06 09:30:02-04:00,2026-08-06 09:31:26.312493-04:00,24.312493,0.0,1.809999942779541
PFAI,2026-08-06 09:30:47-04:00,2026-08-06 09:31:26.312493-04:00,-20.687507,0.0,2.4600000381469727
SNOA,2026-08-06 09:30:00-04:00,2026-08-06 09:31:26.312493-04:00,26.312493,0.0,1.222599983215332
SNOA,2026-08-06 09:31:00-04:00,2026-08-06 09:31:26.312493-04:00,-33.687507,0.0,1.2400000095367432
LVWR,2026-08-06 09:30:00-04:00,2026-08-06 09:31:26.312493-04:00,26.312493,72908.0,1.2450000047683716
LVWR,2026-08-06 09:31:00-04:00,2026-08-06 09:31:26.312493-04:00,-33.687507,0.0,1.2401000261306763
BRLT,2026-08-06 09:30:00-04:00,2026-08-06 09:31:26.312493-04:00,26.312493,0.0,1.1699999570846558
BRLT,2026-08-06 09:31:00-04:00,2026-08-06 09:31:26.312493-04:00,-33.687507,0.0,1.1410000324249268
LPSN,2026-08-06 09:30:00-04:00,2026-08-06 09:31:26.312493-04:00,26.312493,0.0,2.318000078201294
LPSN,2026-08-06 09:31:00-04:00,2026-08-06 09:31:26.312493-04:00,-33.687507,0.0,2.299999952316284
LPSN,2026-08-06 09:30:00-04:00,2026-08-06 09:31:46.325168-04:00,46.325168,0.0,2.318000078201294
LPSN,2026-08-06 09:31:00-04:00,2026-08-06 09:31:46.325168-04:00,-13.674832,0.0,2.299999952316284
CHR,2026-08-06 09:30:02-04:00,2026-08-06 09:31:46.325168-04:00,44.325168,0.0,1.809999942779541
DYAI,2026-08-06 09:30:41-04:00,2026-08-06 09:31:46.325168-04:00,5.325168,0.0,0.9702000021934509
EVTL,2026-08-06 09:30:00-04:00,2026-08-06 09:31:46.325168-04:00,46.325168,63551.0,1.2799999713897705
EVTL,2026-08-06 09:31:00-04:00,2026-08-06 09:31:46.325168-04:00,-13.674832,0.0,1.253999948501587
LESL,2026-08-06 09:30:00-04:00,2026-08-06 09:31:46.325168-04:00,46.325168,0.0,1.5199999809265137
LESL,2026-08-06 09:31:00-04:00,2026-08-06 09:31:46.325168-04:00,-13.674832,0.0,1.4700000286102295
AMST,2026-08-06 09:30:16-04:00,2026-08-06 09:31:46.325168-04:00,30.325168,0.0,0.9900000095367432
PFAI,2026-08-06 09:30:47-04:00,2026-08-06 09:31:46.325168-04:00,-0.674832,0.0,2.4600000381469727
HTZ,2026-08-06 09:30:00-04:00,2026-08-06 09:31:46.325168-04:00,46.325168,0.0,1.6649999618530273
HTZ,2026-08-06 09:31:00-04:00,2026-08-06 09:31:46.325168-04:00,-13.674832,0.0,1.7000000476837158
BRLT,2026-08-06 09:30:00-04:00,2026-08-06 09:31:46.325168-04:00,46.325168,0.0,1.1699999570846558
BRLT,2026-08-06 09:31:00-04:00,2026-08-06 09:31:46.325168-04:00,-13.674832,0.0,1.1410000324249268
LVWR,2026-08-06 09:30:00-04:00,2026-08-06 09:31:46.325168-04:00,46.325168,72908.0,1.2450000047683716
LVWR,2026-08-06 09:31:00-04:00,2026-08-06 09:31:46.325168-04:00,-13.674832,0.0,1.2401000261306763
SNOA,2026-08-06 09:30:00-04:00,2026-08-06 09:31:46.325168-04:00,46.325168,0.0,1.222599983215332
SNOA,2026-08-06 09:31:00-04:00,2026-08-06 09:31:46.325168-04:00,-13.674832,0.0,1.2400000095367432
HTZ,2026-08-06 09:30:00-04:00,2026-08-06 09:32:06.338445-04:00,66.338445,10456231.0,1.6649999618530273
HTZ,2026-08-06 09:31:00-04:00,2026-08-06 09:32:06.338445-04:00,6.338445,0.0,1.6851999759674072
HTZ,2026-08-06 09:32:00-04:00,2026-08-06 09:32:06.338445-04:00,-53.661555,0.0,1.687600016593933
CHR,2026-08-06 09:30:02-04:00,2026-08-06 09:32:06.338445-04:00,64.338445,0.0,1.809999942779541
EVTL,2026-08-06 09:30:00-04:00,2026-08-06 09:32:06.338445-04:00,66.338445,63551.0,1.2799999713897705
EVTL,2026-08-06 09:31:00-04:00,2026-08-06 09:32:06.338445-04:00,6.338445,0.0,1.253999948501587
DYAI,2026-08-06 09:30:41-04:00,2026-08-06 09:32:06.338445-04:00,25.338445,0.0,0.9702000021934509
LESL,2026-08-06 09:30:00-04:00,2026-08-06 09:32:06.338445-04:00,66.338445,88665.0,1.5199999809265137
LESL,2026-08-06 09:31:00-04:00,2026-08-06 09:32:06.338445-04:00,6.338445,0.0,1.465000033378601
LESL,2026-08-06 09:32:00-04:00,2026-08-06 09:32:06.338445-04:00,-53.661555,0.0,1.4797999858856201
AMST,2026-08-06 09:30:16-04:00,2026-08-06 09:32:06.338445-04:00,50.338445,0.0,0.9900000095367432
PFAI,2026-08-06 09:30:47-04:00,2026-08-06 09:32:06.338445-04:00,19.338445,0.0,2.4600000381469727
LPSN,2026-08-06 09:30:00-04:00,2026-08-06 09:32:06.338445-04:00,66.338445,0.0,2.318000078201294
LPSN,2026-08-06 09:31:00-04:00,2026-08-06 09:32:06.338445-04:00,6.338445,0.0,2.299999952316284
BRLT,2026-08-06 09:30:00-04:00,2026-08-06 09:32:06.338445-04:00,66.338445,96939.0,1.1699999570846558
BRLT,2026-08-06 09:31:00-04:00,2026-08-06 09:32:06.338445-04:00,6.338445,0.0,1.1410000324249268
SNOA,2026-08-06 09:30:00-04:00,2026-08-06 09:32:06.338445-04:00,66.338445,299106.0,1.222599983215332
SNOA,2026-08-06 09:31:00-04:00,2026-08-06 09:32:06.338445-04:00,6.338445,0.0,1.2450000047683716
SNOA,2026-08-06 09:32:00-04:00,2026-08-06 09:32:06.338445-04:00,-53.661555,0.0,1.2401000261306763
EVTL,2026-08-06 09:30:00-04:00,2026-08-06 09:32:26.352040-04:00,86.35204,63551.0,1.2799999713897705
EVTL,2026-08-06 09:31:00-04:00,2026-08-06 09:32:26.352040-04:00,26.35204,0.0,1.253999948501587
LPSN,2026-08-06 09:30:00-04:00,2026-08-06 09:32:26.352040-04:00,86.35204,78631.0,2.318000078201294
LPSN,2026-08-06 09:31:00-04:00,2026-08-06 09:32:26.352040-04:00,26.35204,0.0,2.299999952316284
CHR,2026-08-06 09:30:02-04:00,2026-08-06 09:32:26.352040-04:00,84.35204,0.0,1.809999942779541
PFAI,2026-08-06 09:30:47-04:00,2026-08-06 09:32:26.352040-04:00,39.35204,0.0,2.4600000381469727
LESL,2026-08-06 09:30:00-04:00,2026-08-06 09:32:26.352040-04:00,86.35204,88665.0,1.5199999809265137
LESL,2026-08-06 09:31:00-04:00,2026-08-06 09:32:26.352040-04:00,26.35204,0.0,1.465000033378601
