signal_i,signal_time,signal_volume,signal_multiple,entry_i,entry_time,fill,outcome,exit_price,exit_time,return_pct,minutes_held,ticker,date,gap_pct,open_price
12,09:42,14411.0,7.715327958436951,36,10:06,2.467499899864197,TP,2.714249889850617,10:10,9.000000000000005,4.0,SUNE,2026-07-09,15.165885666873184,2.430000066757202
66,10:36,43849.0,9.443740630146754,94,11:04,2.341394877433777,TP,2.575534365177155,12:01,9.000000000000012,57.0,WRAP,2026-07-09,8.805030362005615,1.7300000190734863
12,09:50,9748.0,7.949582954826988,16,09:59,2.5515000700950625,EOD,2.450000047683716,15:59,-4.978052895274468,360.0,ISPC,2026-07-09,5.240180173652019,2.4100000858306885
0,09:30,11842.0,7.0732169963259155,1,09:31,2.378250110149384,TP,2.6160751211643225,10:05,9.000000000000012,34.0,CNTB,2026-07-09,4.054050135560291,2.309999942779541
1,09:31,117211.0,6.796350348085304,5,09:35,1.3373849987983704,TP,1.4711234986782076,09:41,9.000000000000012,6.0,ELAB,2026-07-10,18.396232356461887,1.2549999952316284
7,09:37,16683.0,8.02885690572201,36,10:06,2.3729999899864196,TP,2.6102999889850618,10:30,9.000000000000009,24.0,WOK,2026-07-10,17.326728115711855,2.369999885559082
1,09:31,22468.0,6.585508446985088,13,09:43,1.5487500250339508,SL,1.3938750225305556,09:52,-11.000000000000005,9.0,YYGH,2026-07-10,10.583940176776064,1.5149999856948853
0,09:30,6892.0,6.230736257998145,1,09:31,2.204999899864197,EOD,2.0439999103546143,15:59,-8.301587157418846,388.0,DFSC,2026-07-10,4.455963068096363,2.0160000324249268
53,10:23,40559.0,6.7053583702690736,62,10:32,1.5012900352478027,TP,1.6514190387725831,10:33,9.00000000000001,1.0,YYGH,2026-07-14,11.864416197229556,1.3200000524520874
16,10:20,19476.0,9.03407010771434,18,10:26,1.7848950326442719,SL,1.6064055293798447,10:29,-10.999999999999998,3.0,MGIH,2026-07-14,9.333332379659016,1.6399999856948853
5,09:35,30921.0,6.394843071026071,17,09:47,1.8627000510692597,TP,2.0489700561761857,11:48,8.999999999999998,121.0,BRR,2026-07-14,6.395349562522706,1.830000042915344
9,09:39,23661.0,8.228478652331454,16,09:46,2.0580000400543215,TP,2.263800044059754,11:11,9.000000000000012,85.0,IKT,2026-07-14,5.10203585134164,2.059999942779541
47,10:17,36246.0,6.10778222133494,64,10:34,1.5856050074100496,EOD,1.600000023841858,15:59,-0.09214360672830346,325.0,GEVO,2026-07-15,9.790217485269109,1.5700000524520874
7,10:29,15857.0,9.937517431006029,8,10:32,1.533105057477951,EOD,1.4850000143051147,15:48,-4.137752558978047,316.0,CLIK,2026-07-15,6.428573922235181,1.4900000095367432
