min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,num_trades,win_rate_pct,avg_profit_pct,total_return_pct,profit_factor,median_minutes_held
2.0,1.5,10.0,5.0,21,28.57142857142857,-1.1327239911520337,-23.787203814192708,0.6828372824774309,0.0
2.0,2.0,20.0,10.0,21,28.57142857142857,-1.3602261077300999,-28.564748262332095,0.7592022816825349,80.0
2.0,3.0,20.0,5.0,13,38.46153846153847,0.8749099469789614,11.373829310726498,1.3073340568179739,10.0
2.0,5.0,5.0,3.0,10,10.0,-2.0552840164532573,-20.552840164532572,0.19567296503267056,0.0
5.0,1.5,10.0,3.0,18,5.555555555555555,-2.484608296066944,-44.722949329204994,0.12307942491754956,0.0
5.0,2.0,5.0,3.0,18,22.22222222222222,-1.2222222222222254,-22.000000000000057,0.47619047619047583,0.0
5.0,3.0,10.0,8.0,12,41.66666666666667,0.09944140206593073,1.1932968247911688,1.0280036451237184,10.0
5.0,5.0,5.0,3.0,10,10.0,-2.0552840164532578,-20.55284016453258,0.19567296503267054,0.0
8.0,1.5,20.0,10.0,16,31.25,-0.969933749670479,-15.518939994727663,0.8429953918551796,15.0
8.0,2.0,20.0,10.0,14,42.857142857142854,3.5541327871736335,49.75785902043087,1.9288892661208394,57.5
8.0,3.0,20.0,10.0,10,50.0,4.810497546901532,48.104975469015315,2.365845098756341,27.5
8.0,5.0,20.0,10.0,9,33.33333333333333,1.5322330224896739,13.790097202407065,1.2984229865795214,10.0
10.0,1.5,20.0,10.0,14,28.57142857142857,-2.4524881610885054,-34.33483425523907,0.6415281228972621,15.0
10.0,2.0,20.0,10.0,11,45.45454545454545,2.527912701478037,27.80703971625841,1.5184085723300322,50.0
10.0,3.0,20.0,10.0,9,44.44444444444444,1.9785599684731596,17.807039716258437,1.4080511342419375,40.0
10.0,5.0,20.0,10.0,8,25.0,-1.70490449050574,-13.63923592404592,0.7457227775697751,12.5
15.0,1.5,10.0,3.0,10,0.0,-3.0000000000000013,-30.000000000000014,0.0,0.0
15.0,2.0,5.0,3.0,8,12.5,-2.000000000000001,-16.000000000000007,0.23809523809523836,0.0
15.0,3.0,20.0,3.0,8,12.5,-0.1250000000000031,-1.0000000000000249,0.9523809523809512,0.0
15.0,5.0,20.0,3.0,8,0.0,-3.0000000000000027,-24.00000000000002,0.0,0.0
