peak_block,events,avg_max_gain,avg_close_vs_open,pct_of_events,cumulative_pct
09:30,126,14.021056943626569,-14.014493646301029,47.72727272727273,47.72727272727273
10:00,30,25.036839642066507,-6.219530474633122,11.363636363636363,59.09090909090909
10:30,24,33.640820800845084,1.5531519724562566,9.090909090909092,68.18181818181819
11:00,13,57.86029795263313,11.670723155551299,4.924242424242424,73.10606060606061
11:30,13,28.361323340672325,-3.3938718825037766,4.924242424242424,78.03030303030303
12:00,7,41.87443850345708,9.854504164565112,2.6515151515151514,80.68181818181819
12:30,5,61.29339101061748,15.791626621255418,1.893939393939394,82.57575757575758
13:00,4,109.6692187443883,50.898443880803,1.5151515151515151,84.0909090909091
13:30,6,44.76110600229848,20.09984478724434,2.272727272727273,86.36363636363636
14:00,8,31.958743235795787,15.400291725876114,3.0303030303030303,89.39393939393939
14:30,6,57.99328756204776,27.238408439863818,2.272727272727273,91.66666666666666
15:00,9,52.244770057899565,37.01476762481414,3.4090909090909087,95.07575757575756
15:30,13,18.020372226950403,12.17281798899948,4.924242424242424,99.99999999999999
